batch,feature,icc_A,n_A
log,log-sigma-3-0-mm-3D_glcm_DifferenceEntropy,0.8462485574343317,22
log,log-sigma-3-0-mm-3D_glcm_Id,0.8856938342529243,22
log,log-sigma-3-0-mm-3D_glcm_Idm,0.8863454380895102,22
log,log-sigma-3-0-mm-3D_glcm_Idmn,0.9599924383248511,22
log,log-sigma-3-0-mm-3D_glcm_Idn,0.9605964767316264,22
log,log-sigma-3-0-mm-3D_glcm_Imc2,0.7500196469523178,22
log,log-sigma-3-0-mm-3D_glcm_InverseVariance,0.8320666402371131,22
log,log-sigma-3-0-mm-3D_glcm_JointEnergy,0.914033113566522,22
log,log-sigma-3-0-mm-3D_glcm_JointEntropy,0.8685532188404106,22
log,log-sigma-3-0-mm-3D_glcm_MaximumProbability,0.8905856276216736,22
log,log-sigma-3-0-mm-3D_glcm_SumEntropy,0.8820695038593523,22
log,log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformity,0.7883834035949061,22
log,log-sigma-3-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.9427290243926192,22
log,log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,0.9322911983885045,22
log,log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.8413931973952633,22
log,log-sigma-3-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.7724384824118722,22
log,log-sigma-3-0-mm-3D_glrlm_RunEntropy,0.7951515229064753,22
log,log-sigma-3-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.9082481235705969,22
log,log-sigma-3-0-mm-3D_glrlm_RunPercentage,0.9224192004456133,22
log,log-sigma-3-0-mm-3D_glrlm_RunVariance,0.9418964482852813,22
log,log-sigma-3-0-mm-3D_glrlm_ShortRunEmphasis,0.9061129600168417,22
log,log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9514487306471863,22
log,log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,0.8039574906295239,22
log,log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.920754837705914,22
log,log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.939616856483557,22
log,log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.9670616066280411,22
log,log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.7531202804467044,22
log,log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.7973084468017338,22
log,log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.8690524858005139,22
log,log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.7650549431395359,22
log,log-sigma-3-0-mm-3D_glszm_ZoneVariance,0.9194263244445429,22
log,log-sigma-3-0-mm-3D_gldm_DependenceEntropy,0.7907092183726993,22
log,log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.9143542770498801,22
log,log-sigma-3-0-mm-3D_gldm_DependenceVariance,0.9313245297204106,22
log,log-sigma-3-0-mm-3D_gldm_GrayLevelNonUniformity,0.8679797612930299,22
log,log-sigma-3-0-mm-3D_gldm_LargeDependenceEmphasis,0.9294841138825245,22
log,log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.9095714376630536,22
log,log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.7545112421369269,22
log,log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.8102061812853137,22
log,log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.8129016157150459,22
log,log-sigma-3-0-mm-3D_ngtdm_Busyness,0.8308142427777273,22
log,log-sigma-3-0-mm-3D_ngtdm_Contrast,0.879919882066789,22
