feature,icc_A,n_A,n_missing_A_R1,reason
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1513575905676545,22,0,ICC_A<=0.75
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5606845584126317,22,0,ICC_A<=0.75
wavelet-LLH_ngtdm_Coarseness,0.6754719969097476,22,0,ICC_A<=0.75
wavelet-LLH_ngtdm_Complexity,0.14016047957293173,22,0,ICC_A<=0.75
wavelet-LLH_ngtdm_Contrast,0.679562400047824,22,0,ICC_A<=0.75
wavelet-LLH_ngtdm_Strength,0.6753320539862279,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_90Percentile,0.7155759456275782,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Energy,0.4433745524771794,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Entropy,0.7266737391931624,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Kurtosis,0.7336338920326112,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Maximum,0.63679196522614,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Mean,0.5251018310409514,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Median,0.5264348021241527,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_RootMeanSquared,0.74898766527285,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Skewness,0.6273824338596892,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_TotalEnergy,0.44337455247717966,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Uniformity,0.6326318599059799,22,0,ICC_A<=0.75
wavelet-LHL_firstorder_Variance,0.7181423858858657,22,0,ICC_A<=0.75
wavelet-LHL_glcm_ClusterProminence,0.35324109117225333,22,0,ICC_A<=0.75
wavelet-LHL_glcm_ClusterShade,0.37187865837259393,22,0,ICC_A<=0.75
wavelet-LHL_glcm_ClusterTendency,0.6772895420933582,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Contrast,0.7217252623521815,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Correlation,0.3229676216245459,22,0,ICC_A<=0.75
wavelet-LHL_glcm_DifferenceEntropy,0.6731279755980372,22,0,ICC_A<=0.75
wavelet-LHL_glcm_DifferenceVariance,0.6236556873041164,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Id,0.5822274928919937,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Idm,0.5536699923623697,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Imc1,0.26827668136060684,22,0,ICC_A<=0.75
wavelet-LHL_glcm_Imc2,0.6921113941340766,22,0,ICC_A<=0.75
wavelet-LHL_glcm_InverseVariance,0.7416435428401952,22,0,ICC_A<=0.75
wavelet-LHL_glcm_JointEnergy,0.42990192964450274,22,0,ICC_A<=0.75
wavelet-LHL_glcm_JointEntropy,0.6971994855212152,22,0,ICC_A<=0.75
wavelet-LHL_glcm_MCC,0.6437639099287654,22,0,ICC_A<=0.75
wavelet-LHL_glcm_MaximumProbability,0.4551596373502032,22,0,ICC_A<=0.75
wavelet-LHL_glcm_SumSquares,0.6959339894489632,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.6553253054425521,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_GrayLevelVariance,0.7149723539710326,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_LongRunEmphasis,0.1328835007634768,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.10995281606197968,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.3452674776579073,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_RunLengthNonUniformity,0.707878768956477,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.45337968829784697,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_RunPercentage,0.3680362883464563,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_RunVariance,0.09614392044169215,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_ShortRunEmphasis,0.3577477587491286,22,0,ICC_A<=0.75
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.40653740157515156,22,0,ICC_A<=0.75
wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.6953285544448061,22,0,ICC_A<=0.75
wavelet-LHL_glszm_GrayLevelVariance,0.6625576935995262,22,0,ICC_A<=0.75
wavelet-LHL_glszm_LargeAreaEmphasis,-0.0001749518381254862,22,0,ICC_A<=0.75
wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,-0.0031174925665625216,22,0,ICC_A<=0.75
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.35744150215285,22,0,ICC_A<=0.75
wavelet-LHL_glszm_SizeZoneNonUniformity,0.6280402530624474,22,0,ICC_A<=0.75
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.3280168757492434,22,0,ICC_A<=0.75
wavelet-LHL_glszm_SmallAreaEmphasis,0.23049131411432702,22,0,ICC_A<=0.75
wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.5418924788846904,22,0,ICC_A<=0.75
wavelet-LHL_glszm_ZoneVariance,-5.891599723088013e-05,22,0,ICC_A<=0.75
wavelet-LHL_gldm_DependenceEntropy,0.6700157172772436,22,0,ICC_A<=0.75
wavelet-LHL_gldm_DependenceNonUniformity,0.6597770960445548,22,0,ICC_A<=0.75
wavelet-LHL_gldm_DependenceVariance,0.2783819811381797,22,0,ICC_A<=0.75
wavelet-LHL_gldm_GrayLevelNonUniformity,0.6857614957128276,22,0,ICC_A<=0.75
wavelet-LHL_gldm_GrayLevelVariance,0.7190747764539412,22,0,ICC_A<=0.75
wavelet-LHL_gldm_LargeDependenceEmphasis,0.18659694899090826,22,0,ICC_A<=0.75
wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.044982696026100624,22,0,ICC_A<=0.75
wavelet-LHL_gldm_LowGrayLevelEmphasis,0.3452175671965167,22,0,ICC_A<=0.75
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.43757004262436283,22,0,ICC_A<=0.75
wavelet-LHL_ngtdm_Busyness,0.3286897493762554,22,0,ICC_A<=0.75
wavelet-LHL_ngtdm_Coarseness,0.7084788829019695,22,0,ICC_A<=0.75
wavelet-LHL_ngtdm_Complexity,0.6348971822331319,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Energy,0.520779190583188,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Entropy,0.6855090917531039,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Maximum,0.5084454145202949,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Mean,0.15015422762678338,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Median,0.3563898962199076,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Minimum,0.6150942398188578,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Range,0.575583277938528,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Skewness,0.31361724400433194,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_TotalEnergy,0.5207791905831883,22,0,ICC_A<=0.75
wavelet-LHH_firstorder_Uniformity,0.575195220780577,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Autocorrelation,0.5448454865091567,22,0,ICC_A<=0.75
wavelet-LHH_glcm_ClusterProminence,0.5341491911690306,22,0,ICC_A<=0.75
wavelet-LHH_glcm_ClusterShade,0.468725761383237,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Correlation,0.5484245938019254,22,0,ICC_A<=0.75
wavelet-LHH_glcm_DifferenceEntropy,0.6970419083944738,22,0,ICC_A<=0.75
wavelet-LHH_glcm_DifferenceVariance,0.7432918170868543,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Id,0.6504157832778562,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Idm,0.6164683586011808,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Idmn,0.6612964815505442,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Idn,0.6592338481299197,22,0,ICC_A<=0.75
wavelet-LHH_glcm_Imc1,0.5058590325731659,22,0,ICC_A<=0.75
wavelet-LHH_glcm_InverseVariance,0.6747093299042922,22,0,ICC_A<=0.75
wavelet-LHH_glcm_JointAverage,0.6142869174766353,22,0,ICC_A<=0.75
wavelet-LHH_glcm_JointEnergy,0.4071069434848448,22,0,ICC_A<=0.75
wavelet-LHH_glcm_JointEntropy,0.6675490313547685,22,0,ICC_A<=0.75
wavelet-LHH_glcm_MCC,0.5045838362354664,22,0,ICC_A<=0.75
wavelet-LHH_glcm_MaximumProbability,0.40177531478392314,22,0,ICC_A<=0.75
wavelet-LHH_glcm_SumAverage,0.6142869174766353,22,0,ICC_A<=0.75
wavelet-LHH_glcm_SumEntropy,0.6693760450596469,22,0,ICC_A<=0.75
wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.5953761495256842,22,0,ICC_A<=0.75
