feature,icc_A,n_A,n_missing_A_R1,reason
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.623788208354308,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.6837910685123215,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.4602283002927329,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.5961236136041409,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.5013194747648438,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,0.21530305513905187,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.396667178963494,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5232129842983043,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.5053621656145751,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.7426738566859294,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.2281164638330131,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.3955746731997013,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.6943696023309521,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_ngtdm_Complexity,0.18628434168295807,22,0,ICC_A<=0.75
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.7226251519011954,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_90Percentile,0.5825433458753883,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Energy,0.4197199196240444,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.7489910339905966,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Maximum,0.6706785785922762,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Mean,0.5509653066750549,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Median,0.3802427660539143,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Range,0.7290949155797275,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.7037539397387576,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.41971991962404415,22,0,ICC_A<=0.75
log-sigma-2-0-mm-3D_firstorder_Variance,0.6835433764041294,22,0,ICC_A<=0.75
