batch,feature,icc_A,n_A
wavelet,wavelet-HLL_glcm_Idm,0.827311466295762,22
wavelet,wavelet-HLL_glcm_Imc1,0.7977167335142996,22
wavelet,wavelet-HLL_glcm_Imc2,0.7949804516604638,22
wavelet,wavelet-HLL_glcm_InverseVariance,0.8098574809306882,22
wavelet,wavelet-HLL_glcm_JointEnergy,0.8495105335786929,22
wavelet,wavelet-HLL_glcm_MaximumProbability,0.8582608221753874,22
wavelet,wavelet-HLL_glrlm_GrayLevelNonUniformity,0.8146744359899681,22
wavelet,wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.8056300723471264,22
wavelet,wavelet-HLL_glrlm_LongRunEmphasis,0.8966909490153216,22
wavelet,wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.8496982962090672,22
wavelet,wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.7914998454904957,22
wavelet,wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.8724962556144056,22
wavelet,wavelet-HLL_glrlm_RunPercentage,0.8832320335283599,22
wavelet,wavelet-HLL_glrlm_RunVariance,0.9023732791534801,22
wavelet,wavelet-HLL_glrlm_ShortRunEmphasis,0.8792720260715319,22
wavelet,wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.7710417802367915,22
wavelet,wavelet-HLL_glszm_GrayLevelNonUniformity,0.7737808200402693,22
wavelet,wavelet-HLL_glszm_LargeAreaEmphasis,0.7559644876036903,22
wavelet,wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.783312782586949,22
wavelet,wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.9682091666859316,22
wavelet,wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.8552827340159608,22
wavelet,wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.8624374211511183,22
wavelet,wavelet-HLL_glszm_ZonePercentage,0.8314273553650147,22
wavelet,wavelet-HLL_glszm_ZoneVariance,0.7542049673754379,22
wavelet,wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.867550262895918,22
wavelet,wavelet-HLL_gldm_DependenceVariance,0.8924584983059833,22
wavelet,wavelet-HLL_gldm_GrayLevelNonUniformity,0.811114935252889,22
wavelet,wavelet-HLL_gldm_LargeDependenceEmphasis,0.8997448258444493,22
wavelet,wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.88761282360023,22
wavelet,wavelet-HLL_gldm_LowGrayLevelEmphasis,0.7883842895096228,22
wavelet,wavelet-HLL_gldm_SmallDependenceEmphasis,0.8280946918519151,22
wavelet,wavelet-HLL_ngtdm_Busyness,0.7534051024982636,22
wavelet,wavelet-HLL_ngtdm_Contrast,0.8826726885558729,22
wavelet,wavelet-HLL_ngtdm_Strength,0.9067409248894973,22
wavelet,wavelet-HLH_glrlm_GrayLevelNonUniformity,0.8070692081408719,22
wavelet,wavelet-HLH_gldm_DependenceVariance,0.7861936608216339,22
wavelet,wavelet-HLH_gldm_GrayLevelNonUniformity,0.8061214466950739,22
wavelet,wavelet-HLH_ngtdm_Busyness,0.7949107720894172,22
wavelet,wavelet-HLH_ngtdm_Strength,0.7645009010242728,22
wavelet,wavelet-HHL_firstorder_Variance,0.7531178301209631,22
wavelet,wavelet-HHL_glcm_ClusterTendency,0.7613509969892961,22
wavelet,wavelet-HHL_glcm_Contrast,0.7725833375792144,22
wavelet,wavelet-HHL_glcm_Imc1,0.8937796103311675,22
wavelet,wavelet-HHL_glcm_Imc2,0.7636932554897894,22
wavelet,wavelet-HHL_glcm_SumSquares,0.7671671270555813,22
wavelet,wavelet-HHL_gldm_GrayLevelVariance,0.7539841854153317,22
wavelet,wavelet-HHL_ngtdm_Strength,0.9194874992466401,22
wavelet,wavelet-HHH_firstorder_Variance,0.7959427122758793,22
wavelet,wavelet-HHH_glcm_ClusterTendency,0.8081338393521076,22
wavelet,wavelet-HHH_glcm_Contrast,0.8088834735730492,22
wavelet,wavelet-HHH_glcm_DifferenceVariance,0.7930429073626544,22
wavelet,wavelet-HHH_glcm_Imc2,0.9272735564182285,22
wavelet,wavelet-HHH_glcm_SumSquares,0.8085398911212296,22
wavelet,wavelet-HHH_glrlm_GrayLevelVariance,0.7930706364265507,22
wavelet,wavelet-HHH_gldm_GrayLevelVariance,0.7961182276762663,22
wavelet,wavelet-HHH_ngtdm_Contrast,0.7998257720848898,22
wavelet,wavelet-HHH_ngtdm_Strength,0.8998976074287811,22
wavelet,wavelet-LLL_firstorder_10Percentile,0.8773666266542446,22
wavelet,wavelet-LLL_firstorder_90Percentile,0.8717725823900401,22
wavelet,wavelet-LLL_firstorder_Entropy,0.798625224228251,22
wavelet,wavelet-LLL_firstorder_InterquartileRange,0.8200875367865024,22
wavelet,wavelet-LLL_firstorder_Maximum,0.7532287066049507,22
wavelet,wavelet-LLL_firstorder_MeanAbsoluteDeviation,0.8047052781028984,22
wavelet,wavelet-LLL_firstorder_Mean,0.8983322130658898,22
wavelet,wavelet-LLL_firstorder_Median,0.9085694983912865,22
wavelet,wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,0.818249413458675,22
wavelet,wavelet-LLL_firstorder_RootMeanSquared,0.8953678109673651,22
wavelet,wavelet-LLL_firstorder_Uniformity,0.8232677967431711,22
wavelet,wavelet-LLL_glcm_Correlation,0.8238980288814873,22
wavelet,wavelet-LLL_glcm_DifferenceAverage,0.7610146405617239,22
wavelet,wavelet-LLL_glcm_Id,0.7930279930697908,22
wavelet,wavelet-LLL_glcm_Idm,0.7938600407487295,22
wavelet,wavelet-LLL_glcm_Idn,0.8406833899670253,22
wavelet,wavelet-LLL_glcm_Imc2,0.8573751528416206,22
wavelet,wavelet-LLL_glcm_InverseVariance,0.771530692422659,22
wavelet,wavelet-LLL_glcm_JointAverage,0.8024058200161232,22
wavelet,wavelet-LLL_glcm_JointEnergy,0.8413267155227486,22
wavelet,wavelet-LLL_glcm_JointEntropy,0.791771309342731,22
wavelet,wavelet-LLL_glcm_MCC,0.7942879389369701,22
wavelet,wavelet-LLL_glcm_MaximumProbability,0.7789326803909561,22
wavelet,wavelet-LLL_glcm_SumAverage,0.8024058200161235,22
wavelet,wavelet-LLL_glcm_SumEntropy,0.8228310262613097,22
wavelet,wavelet-LLL_glrlm_GrayLevelNonUniformity,0.8425397556201584,22
wavelet,wavelet-LLL_glrlm_GrayLevelNonUniformityNormalized,0.7819006044091913,22
wavelet,wavelet-LLL_glrlm_LongRunEmphasis,0.8615325706718671,22
wavelet,wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.7887342163646103,22
wavelet,wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.8109310116836811,22
wavelet,wavelet-LLL_glrlm_RunPercentage,0.8381415811001376,22
wavelet,wavelet-LLL_glrlm_RunVariance,0.828721513723053,22
wavelet,wavelet-LLL_glrlm_ShortRunEmphasis,0.7917553053375183,22
wavelet,wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.7822822917181089,22
wavelet,wavelet-LLL_glszm_LargeAreaEmphasis,0.8251167142136225,22
wavelet,wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.875001925285803,22
wavelet,wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.7762151630785153,22
wavelet,wavelet-LLL_glszm_ZoneEntropy,0.8117146866033136,22
wavelet,wavelet-LLL_glszm_ZoneVariance,0.8240457244768481,22
wavelet,wavelet-LLL_gldm_DependenceNonUniformityNormalized,0.9096450338215586,22
wavelet,wavelet-LLL_gldm_DependenceVariance,0.8656388475905359,22
wavelet,wavelet-LLL_gldm_GrayLevelNonUniformity,0.8606475763058181,22
wavelet,wavelet-LLL_gldm_LargeDependenceEmphasis,0.8455309528099095,22
wavelet,wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,0.8240093232654812,22
wavelet,wavelet-LLL_ngtdm_Busyness,0.7975543812379179,22
wavelet,wavelet-LLL_ngtdm_Contrast,0.8926536130833879,22
wavelet,wavelet-LLL_ngtdm_Strength,0.7617436222574793,22
