feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.8026764506281568,22,0.7585031295389127,8,True,0,True
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.21525013883698527,22,0.14179927401945489,8,False,0,False
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.4980851580024646,22,0.3749602886131217,8,False,0,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.6831329698055619,22,0.38773200352359366,8,False,0,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6861786315093394,22,0.321749474376207,8,False,0,False
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.45334578290995153,22,0.06034946934888958,8,False,0,False
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.21281908132167676,22,0.08397957537254933,8,False,0,False
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.7735303766338028,22,0.7698396507802839,8,True,0,True
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8940471329720988,22,0.48664273389171525,8,True,0,True
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.583710074266984,22,0.8776062573193938,8,False,0,False
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.5948658054529136,22,0.36331424180934846,8,False,0,False
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.5225827458783817,22,0.21889462430576626,8,False,0,False
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3569978397939614,22,0.683736277061456,8,False,0,False
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.32929241470965837,22,0.6793278275814928,8,False,0,False
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.20332416968454534,22,0.08822052300902167,8,False,0,False
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.623788208354308,22,0.25929871779140046,8,False,0,False
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.6837910685123215,22,0.054968890725280974,8,False,0,False
log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.7565734509510322,22,0.735435849883195,8,True,0,True
log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.7731426546260256,22,0.7694218774837843,8,True,0,True
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.4602283002927329,22,0.26026846854574465,8,False,0,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.5961236136041409,22,0.40463785889663983,8,False,0,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.8218457521046038,22,0.725819949607166,8,True,0,True
log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.8632664810567461,22,0.6894082978251912,8,True,0,True
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.8806141728398422,22,0.7010453471870867,8,True,0,True
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.5013194747648438,22,0.21738310859401158,8,False,0,False
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,0.21530305513905187,22,0.14533061383599602,8,False,0,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,0.8223475853875267,22,0.7331211522305261,8,True,0,True
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.396667178963494,22,0.331922532731166,8,False,0,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5232129842983043,22,0.6968138976507785,8,False,0,False
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.5053621656145751,22,0.4280333754943594,8,False,0,False
