feature,icc_A,n_A,icc_B,n_B,pass_icc,n_missing_A_R1,candidate
wavelet-LLH_glszm_LargeAreaEmphasis,0.7812826108400448,22,0.5792010786546539,8,True,0,True
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.9197573025879379,22,0.7286863665200694,8,True,0,True
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5504256914986128,22,0.567078117227401,8,False,0,False
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.39273994808781604,22,0.20002368246367405,8,False,0,False
wavelet-LLH_glszm_SizeZoneNonUniformity,0.5235888378765677,22,0.0432843664949419,8,False,0,False
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.3281138353448721,22,0.3927067916089817,8,False,0,False
wavelet-LLH_glszm_SmallAreaEmphasis,0.3403840262943934,22,0.38487048605346136,8,False,0,False
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.37140028512922213,22,0.009219219279598245,8,False,0,False
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.4139514413752266,22,0.03105972691595533,8,False,0,False
wavelet-LLH_glszm_ZoneEntropy,0.76886134154937,22,-0.050368819311482224,8,True,0,True
wavelet-LLH_glszm_ZonePercentage,0.6646793925858403,22,0.44821849732086544,8,False,0,False
wavelet-LLH_glszm_ZoneVariance,0.781452945597686,22,0.579789508911439,8,True,0,True
wavelet-LLH_gldm_DependenceEntropy,0.7073036389394434,22,0.14872550265163126,8,False,0,False
wavelet-LLH_gldm_DependenceNonUniformity,0.5901117015619793,22,0.12951139898095718,8,False,0,False
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.7185033201175871,22,0.38496190640352246,8,False,0,False
wavelet-LLH_gldm_DependenceVariance,0.845714940820742,22,0.29387154655948367,8,True,0,True
wavelet-LLH_gldm_GrayLevelNonUniformity,0.8506707944127438,22,0.6730059242131886,8,True,0,True
wavelet-LLH_gldm_GrayLevelVariance,0.46901627959451625,22,0.0721601567030022,8,False,0,False
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.4934788663660082,22,0.039061710963147575,8,False,0,False
wavelet-LLH_gldm_LargeDependenceEmphasis,0.7540940868588399,22,0.37508670676391337,8,True,0,True
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.9375609994622385,22,0.7964964230285161,8,True,0,True
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.41771421346797327,22,0.5607523608901149,8,False,0,False
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.4421925507879803,22,0.3649778819495723,8,False,0,False
wavelet-LLH_gldm_SmallDependenceEmphasis,0.6410687988486423,22,0.44086487464072943,8,False,0,False
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.1513575905676545,22,2.3367545458381514e-05,8,False,0,False
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.5606845584126317,22,-0.16767003058492888,8,False,0,False
wavelet-LLH_ngtdm_Busyness,0.7914022098939648,22,0.6944372198764099,8,True,0,True
wavelet-LLH_ngtdm_Coarseness,0.6754719969097476,22,0.15064710103267095,8,False,0,False
wavelet-LLH_ngtdm_Complexity,0.14016047957293173,22,-0.014370689980463612,8,False,0,False
wavelet-LLH_ngtdm_Contrast,0.679562400047824,22,0.5628060273602711,8,False,0,False
wavelet-LLH_ngtdm_Strength,0.6753320539862279,22,0.6552426436406816,8,False,0,False
wavelet-LHL_firstorder_10Percentile,0.8133109772280609,22,-0.3662872429419068,8,True,0,True
wavelet-LHL_firstorder_90Percentile,0.7155759456275782,22,-0.9573087844207901,8,False,0,False
wavelet-LHL_firstorder_Energy,0.4433745524771794,22,0.45876697519765375,8,False,0,False
wavelet-LHL_firstorder_Entropy,0.7266737391931624,22,-0.6401981111178039,8,False,0,False
