analysis_side,model_id,metric,primary_v2_estimate,sensitivity_693_estimate,delta_sensitivity_minus_primary,primary_v2_source,comparison_population
A,M5,uno_c_index,0.6597119800642421,0.5420858364326953,-0.11762614363154689,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M5,3_year_auc,0.66097348434764,0.6756350070115129,0.014661522663872883,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M5,3_year_brier,0.1363220952807592,0.1178899954907084,-0.018432099790050796,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M5,5_year_auc,0.6851953540355721,0.6662995622836926,-0.018895791751879498,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
A,M5,5_year_brier,0.17468208835691987,0.1495873563315557,-0.025094732025364164,archive/ft_validation_v1/FT03_A_validation.json,A393_vs_A530
B,M0,harrell_c_index_pooled,0.6523082866525014,0.6677612516901681,0.015452965037666688,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M0,uno_c_index,0.6697777837195277,0.6836483763408364,0.013870592621308742,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M0,3_year_auc,0.6173326244382675,0.6427722260810529,0.02543960164278536,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M0,3_year_brier,0.13921688039549293,0.1288332264633245,-0.010383653932168418,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M0,5_year_auc,0.6673460417722735,0.6835543018010097,0.01620826002873621,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M0,5_year_brier,0.1861763537141083,0.164709895997406,-0.021466457716702303,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,harrell_c_index_pooled,0.6536604210932973,0.6679544137531389,0.014293992659841659,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,uno_c_index,0.6718783632931876,0.6850523003677716,0.01317393707458403,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,3_year_auc,0.6196818135483189,0.6434359239745422,0.02375411042622333,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,3_year_brier,0.13938665470800976,0.1288558288619232,-0.010530825846086556,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,5_year_auc,0.6675639340971414,0.682666769345155,0.01510283524801359,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M1,5_year_brier,0.18579490907032425,0.1637893282323237,-0.022005580838000555,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,harrell_c_index_pooled,0.6513424763376473,0.6515356384006181,0.00019316206297081973,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,uno_c_index,0.6732525748415239,0.6691712325151621,-0.004081342326361814,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,3_year_auc,0.6106263960215442,0.6199937202164867,0.009367324194942461,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,3_year_brier,0.139623135737186,0.130607870179209,-0.009015265557976992,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,5_year_auc,0.6642511191160164,0.6711622639894261,0.006911144873409714,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M2,5_year_brier,0.18818105158165133,0.1660380187025341,-0.02214303287911723,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,harrell_c_index_pooled,0.6044383881642982,0.6400622931672182,0.03562390500292001,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,uno_c_index,0.6170499999111141,0.6558066870105375,0.03875668709942337,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,3_year_auc,0.5721668562802864,0.61548341525926,0.043316558978973574,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,3_year_brier,0.14370742697443595,0.1276841106039875,-0.01602331637044846,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,5_year_auc,0.635930211039513,0.660310379818495,0.02438016877898208,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3L,5_year_brier,0.20245905043993415,0.1722711066919304,-0.030187943748003737,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,harrell_c_index_pooled,0.6806937731020757,0.6889394370201877,0.00824566391811199,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,uno_c_index,0.6705435936982771,0.6807916397378064,0.010248046039529335,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,3_year_auc,0.6484419533793323,0.657207394092208,0.00876544071287566,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,3_year_brier,0.13486353267548945,0.1261681291440527,-0.008695403531436746,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,5_year_auc,0.7081352957784658,0.7158292987461187,0.00769400296765288,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M3H,5_year_brier,0.17880691335796997,0.1566119879526269,-0.02219492540534307,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,harrell_c_index_pooled,0.6445592879701407,0.6652311225954637,0.02067183462532296,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,uno_c_index,0.6554985904597593,0.6624409492301485,0.006942358770389179,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,3_year_auc,0.6411925101278872,0.6466230270240043,0.005430516896117066,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,3_year_brier,0.1373959996246586,0.1258143738759657,-0.011581625748692898,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,5_year_auc,0.6630671900298488,0.6686841445554812,0.005616954525632378,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M4,5_year_brier,0.19287207623068775,0.1675942208175544,-0.02527785541313335,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,harrell_c_index_pooled,0.6233339772068766,0.6468997488893181,0.02356577168244156,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,uno_c_index,0.6364692584957478,0.655065232789142,0.018595974293394213,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,3_year_auc,0.638206956140927,0.6657695428988102,0.027562586757883145,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,3_year_brier,0.13768450457594217,0.1287416157325825,-0.00894288884335967,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,5_year_auc,0.64350405037178,0.6690952540539273,0.02559120368214729,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
B,M5,5_year_brier,0.19356740257135074,0.1715500153295648,-0.022017387241785952,archive/ft_validation_v1/FT06_B_validation.json,B163_vs_B163
