analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,common_n,common_event_n,metric,left_estimate,right_estimate,delta_right_minus_left,left_source_run,right_source_run,left_training_population,right_training_population,fold_assignments_identical,common_population_rule
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,5_year_auc,0.6686855319566289,0.6655806759438574,-0.0031048560127715508,M0,M1,main,main,True,True
A,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,530,121,5_year_brier,0.15233846788560618,0.15199885220956885,-0.0003396156760373248,M0,M1,main,main,True,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,harrell_c_index_pooled,0.6677612516901681,0.6679544137531389,0.00019316206297081973,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,uno_c_index,0.6836483763408364,0.6850523003677716,0.0014039240269352327,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,3_year_auc,0.6427722260810529,0.6434359239745422,0.0006636978934893012,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,3_year_brier,0.1288332264633245,0.1288558288619232,2.2602398598692286e-05,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,5_year_auc,0.6835543018010097,0.682666769345155,-0.0008875324558547115,M0,M1,main,main,not_applicable_external,True
B,M0_vs_M1,primary_clinical_value_supporting,M0,M1,main,163,42,5_year_brier,0.164709895997406,0.1637893282323237,-0.0009205677650822863,M0,M1,main,main,not_applicable_external,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,harrell_c_index_pooled,0.6095544861844148,0.603287022663769,-0.006267463520645777,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,uno_c_index,0.586227361436035,0.5767388523858256,-0.009488509050209482,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,3_year_auc,0.651994629964253,0.6519367176871275,-5.7912277125482525e-05,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,3_year_brier,0.12166632658602912,0.1234248647720147,0.001758538185985578,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,5_year_auc,0.6686855319566289,0.6480819433705894,-0.0206035885860395,M0,M2,main,main,True,True
A,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,530,121,5_year_brier,0.15233846788560618,0.1541778545843187,0.0018393866987125307,M0,M2,main,main,True,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,harrell_c_index_pooled,0.6677612516901681,0.6515356384006181,-0.016225613289549967,M0,M2,main,main,not_applicable_external,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,uno_c_index,0.6836483763408364,0.6691712325151621,-0.014477143825674332,M0,M2,main,main,not_applicable_external,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,3_year_auc,0.6427722260810529,0.6199937202164867,-0.0227785058645662,M0,M2,main,main,not_applicable_external,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,3_year_brier,0.1288332264633245,0.13060787017920902,0.0017746437158845108,M0,M2,main,main,not_applicable_external,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,5_year_auc,0.6835543018010097,0.6711622639894261,-0.0123920378115836,M0,M2,main,main,not_applicable_external,True
B,M0_vs_M2,primary_clinical_value_supporting,M0,M2,main,163,42,5_year_brier,0.164709895997406,0.16603801870253412,0.0013281227051281375,M0,M2,main,main,not_applicable_external,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,harrell_c_index_pooled,0.6177631392146284,0.5732985036485988,-0.04446463556602964,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,uno_c_index,0.6135017228554297,0.5293406342703204,-0.08416108858510929,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,3_year_auc,0.658176345429841,0.6161083847343295,-0.04206796069551155,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,3_year_brier,0.12258319694016194,0.12413824886388712,0.0015550519237251814,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,5_year_auc,0.6752593184854133,0.6302632043796031,-0.04499611410581017,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
A,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,441,99,5_year_brier,0.1526173155728271,0.15704436824673462,0.004427052673907528,M0_common_dual_radiomics,M4,dual_radiomics,dual_radiomics,True,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,harrell_c_index_pooled,0.6850416307780649,0.6652311225954637,-0.019810508182601216,M0,M4,main,dual_radiomics,not_applicable_external,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,uno_c_index,0.6997610833433888,0.6624409492301485,-0.03732013411324031,M0,M4,main,dual_radiomics,not_applicable_external,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,3_year_auc,0.6557602432513577,0.6466230270240043,-0.009137216227353417,M0,M4,main,dual_radiomics,not_applicable_external,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,3_year_brier,0.13216042192629787,0.12581437387596575,-0.00634604805033212,M0,M4,main,dual_radiomics,not_applicable_external,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,5_year_auc,0.7096394749138829,0.6686841445554812,-0.04095533035840171,M0,M4,main,dual_radiomics,not_applicable_external,True
B,M0_vs_M4,primary_clinical_value_supporting,M0,M4,dual_radiomics,130,35,5_year_brier,0.1655529549056258,0.16759422081755446,0.002041265911928658,M0,M4,main,dual_radiomics,not_applicable_external,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,harrell_c_index_pooled,0.6095544861844148,0.627483700714064,0.01792921452964924,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,uno_c_index,0.586227361436035,0.5420858364326953,-0.04414152500333979,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,3_year_auc,0.651994629964253,0.6756350070115129,0.023640377047259964,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,3_year_brier,0.12166632658602912,0.11788999549070842,-0.0037763310953207035,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,5_year_auc,0.6686855319566289,0.6662995622836926,-0.002385969672936361,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
A,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,530,121,5_year_brier,0.15233846788560618,0.14958735633155573,-0.002751111554050445,M0_W_Original,M5,W_Original_available,W_Original_available,True,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,harrell_c_index_pooled,0.6677612516901681,0.6468997488893181,-0.020861502800849974,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,uno_c_index,0.6836483763408364,0.655065232789142,-0.028583143551694445,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,3_year_auc,0.6427722260810529,0.6657695428988102,0.022997316817757296,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,3_year_brier,0.1288332264633245,0.12874161573258258,-9.161073074193116e-05,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
B,M0_vs_M5,primary_clinical_value_supporting,M0,M5,W_Original_available,163,42,5_year_auc,0.6835543018010097,0.6690952540539273,-0.014459047747082399,M0_W_Original,M5,W_Original_available,W_Original_available,not_applicable_external,True
