analysis_side,comparison_id,comparison_group,left_model,right_model,common_population,common_n,common_event_n,metric,left_estimate,right_estimate,delta_right_minus_left,left_source_run,right_source_run,left_training_population,right_training_population,fold_assignments_identical,common_population_rule
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,3_year_auc,0.6161083847343295,0.62706285848267,0.010954473748340465,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,3_year_brier,0.12413824886388712,0.12394067557374266,-0.00019757329014445657,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,5_year_auc,0.6302632043796031,0.6359033632188467,0.005640158839243514,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
A,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,441,99,5_year_brier,0.15704436824673462,0.1562738207074952,-0.0007705475392394134,M4,M5_dual,dual_radiomics,dual_radiomics,True,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,harrell_c_index_pooled,0.6652311225954637,0.6732701693942004,0.008039046798736682,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,uno_c_index,0.6624409492301485,0.6938860970350176,0.03144514780486907,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,3_year_auc,0.6466230270240043,0.6371332984129804,-0.009489728611023929,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,3_year_brier,0.12581437387596575,0.13332246902928746,0.007508095153321709,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,5_year_auc,0.6686841445554812,0.688285827437995,0.01960168288251385,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
B,M4_vs_M5,secondary_head_to_head,M4,M5,dual_radiomics,130,35,5_year_brier,0.16759422081755446,0.1720139939243165,0.004419773106762032,M4,M5_dual,dual_radiomics,dual_radiomics,not_applicable_external,True
