feature,stage,reason
log-sigma-1-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-1-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-1-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-1-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_10Percentile,icc,ICC_A=0.727 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.443 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Energy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.646 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Kurtosis,icc,ICC_A=0.487 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.637 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_MeanAbsoluteDeviation,icc,ICC_A=0.718 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Mean,icc,ICC_A=0.583 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Median,icc,ICC_A=0.677 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Minimum,icc,ICC_A=0.437 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Range,icc,ICC_A=0.570 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,icc,ICC_A=0.627 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_RootMeanSquared,icc,ICC_A=0.577 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_Skewness,icc,ICC_A=0.726 ≤ 0.75
log-sigma-1-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Autocorrelation,icc,ICC_A=0.400 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.696 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.569 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.645 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Correlation,icc,ICC_A=0.157 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.695 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idmn,icc,ICC_A=0.672 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_Idn,icc,ICC_A=0.687 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointAverage,icc,ICC_A=0.436 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_JointEntropy,icc,ICC_A=0.649 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_MCC,icc,ICC_A=0.506 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_MaximumProbability,icc,ICC_A=0.742 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumAverage,icc,ICC_A=0.436 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumEntropy,icc,ICC_A=0.715 ≤ 0.75
log-sigma-1-0-mm-3D_glcm_SumSquares,icc,ICC_A=0.696 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.399 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunEmphasis,icc,ICC_A=0.746 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.404 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,icc,ICC_A=0.514 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,icc,ICC_A=0.506 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunEntropy,icc,ICC_A=0.726 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.733 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,icc,ICC_A=0.747 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunPercentage,icc,ICC_A=0.746 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_RunVariance,icc,ICC_A=0.742 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,icc,ICC_A=0.746 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.397 ≤ 0.75
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,icc,ICC_A=0.504 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,icc,ICC_A=0.749 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.398 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,icc,ICC_A=0.732 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.603 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.516 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.729 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.393 ≤ 0.75
