feature,icc_A,n_A,icc_B,n_B,pass
wavelet-LLH_glrlm_ShortRunEmphasis,0.8140142247890639,22,-0.2843881650307,8,True
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,0.8232150345651563,22,0.5700090815426089,8,True
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.8566491105502492,22,-0.14309799480119292,8,True
wavelet-LLH_glszm_GrayLevelNonUniformity,0.7198525015346311,22,0.509364848493096,8,False
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.8525306291762519,22,-0.3079899827013383,8,True
wavelet-LLH_glszm_GrayLevelVariance,0.9633824299138433,22,0.23917721738388767,8,True
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.8323355268470549,22,0.5727076902176962,8,True
wavelet-LLH_glszm_LargeAreaEmphasis,0.805109442191464,22,-0.23277483278920566,8,True
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,0.9497972337665634,22,0.6163106298982189,8,True
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.5881873015320263,22,-0.25266837766588085,8,False
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.8600800761272945,22,-0.1480115343917535,8,True
wavelet-LLH_glszm_SizeZoneNonUniformity,0.7314332844252479,22,0.4548126843412285,8,False
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.7579735028914221,22,-0.39263999341069855,8,True
wavelet-LLH_glszm_SmallAreaEmphasis,0.7675765841601658,22,-0.39239800759487214,8,True
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.8158561832507101,22,0.5270765278683139,8,True
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.8275090902062507,22,-0.11378919121508965,8,True
wavelet-LLH_glszm_ZoneEntropy,0.895154482219792,22,0.2988810982376481,8,True
wavelet-LLH_glszm_ZonePercentage,0.7618180942700841,22,-0.2613092891931671,8,True
wavelet-LLH_glszm_ZoneVariance,0.8026583460450132,22,-0.22102888936844256,8,True
wavelet-LLH_gldm_DependenceEntropy,0.8438498808383399,22,0.25857581299903715,8,True
wavelet-LLH_gldm_DependenceNonUniformity,0.7401452001281148,22,0.4706636616770649,8,False
wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.7603814113299742,22,-0.1880455734633282,8,True
wavelet-LLH_gldm_DependenceVariance,0.8757099858092234,22,-0.12261999022302478,8,True
wavelet-LLH_gldm_GrayLevelNonUniformity,0.7012320308462522,22,0.5020499389465515,8,False
wavelet-LLH_gldm_GrayLevelVariance,0.9516474533971073,22,0.0560273153917217,8,True
wavelet-LLH_gldm_HighGrayLevelEmphasis,0.8269748288547212,22,0.5818090193237915,8,True
wavelet-LLH_gldm_LargeDependenceEmphasis,0.8592743833188096,22,-0.27177336708198324,8,True
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,0.9217472125558278,22,0.857485586947729,8,True
wavelet-LLH_gldm_LargeDependenceLowGrayLevelEmphasis,0.9536938766986124,22,-0.2852201886930709,8,True
wavelet-LLH_gldm_LowGrayLevelEmphasis,0.8643931520386926,22,-0.14514641300464,8,True
wavelet-LLH_gldm_SmallDependenceEmphasis,0.7638274027448738,22,-0.305683927768962,8,True
wavelet-LLH_gldm_SmallDependenceHighGrayLevelEmphasis,0.7576502204892891,22,0.4040456378748266,8,True
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.741505996050081,22,-0.0998836084586212,8,False
wavelet-LLH_ngtdm_Busyness,0.6358218824616804,22,0.5043035155351528,8,False
wavelet-LLH_ngtdm_Coarseness,0.6692559199046153,22,0.1376626598299556,8,False
wavelet-LLH_ngtdm_Complexity,0.8848035687539402,22,0.2119392231124079,8,True
wavelet-LLH_ngtdm_Contrast,0.8435389173465211,22,-0.04163954598157488,8,True
wavelet-LLH_ngtdm_Strength,0.7539055750454924,22,0.5150328583875402,8,True
wavelet-LHL_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
wavelet-LHL_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
wavelet-LHL_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
wavelet-LHL_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
wavelet-LHL_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
wavelet-LHL_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
wavelet-LHL_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
wavelet-LHL_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
wavelet-LHL_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
wavelet-LHL_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
wavelet-LHL_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
wavelet-LHL_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
wavelet-LHL_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
wavelet-LHL_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
wavelet-LHL_firstorder_10Percentile,0.7214033018867914,22,0.1668711656441718,8,False
wavelet-LHL_firstorder_90Percentile,0.8649466596050531,22,-0.4043545878693623,8,True
wavelet-LHL_firstorder_Energy,0.7280587212430459,22,0.561612871864683,8,False
wavelet-LHL_firstorder_Entropy,0.5907145012539745,22,-0.06832122706517882,8,False
wavelet-LHL_firstorder_InterquartileRange,0.7541292076102863,22,-0.1715076071922545,8,True
wavelet-LHL_firstorder_Kurtosis,0.7346710838314463,22,0.010753573217906492,8,False
wavelet-LHL_firstorder_Maximum,0.8189498572705519,22,-0.09250943436004468,8,True
wavelet-LHL_firstorder_MeanAbsoluteDeviation,0.8428049752247441,22,-0.061788626003257706,8,True
wavelet-LHL_firstorder_Mean,0.6979182704401022,22,-0.021815528848562856,8,False
wavelet-LHL_firstorder_Median,0.41518987341772423,22,0.0,8,False
wavelet-LHL_firstorder_Minimum,0.85031823929023,22,0.11080156854460715,8,True
wavelet-LHL_firstorder_Range,0.9043090126549205,22,-0.04229762481822585,8,True
wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,0.7957411899266188,22,-0.10575567069674047,8,True
wavelet-LHL_firstorder_RootMeanSquared,0.7610601484206914,22,-0.2779805939778707,8,True
wavelet-LHL_firstorder_Skewness,0.6288945830099213,22,0.44542709635745753,8,False
wavelet-LHL_firstorder_TotalEnergy,0.7280587212430465,22,0.5616128718646831,8,False
wavelet-LHL_firstorder_Uniformity,0.21556348531738972,22,-0.059046741081188896,8,False
wavelet-LHL_firstorder_Variance,0.9158594225227394,22,0.08859827695030441,8,True
wavelet-LHL_glcm_Autocorrelation,0.8209254878919258,22,0.23843587730519344,8,True
wavelet-LHL_glcm_ClusterProminence,0.9082360682293071,22,0.37631797778005804,8,True
