feature,mean_A,std_A
wavelet-LHH_firstorder_90Percentile,206.0920754716981,3.0562422101551787
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,0.0008061489758201926,0.0007816470178643778
wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.0006166120305885074,0.0005470185510579625
wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,5.225720758899125,0.9747070195305116
wavelet-HLL_glcm_InverseVariance,0.11136056441516375,0.023036049865113463
wavelet-HHH_glcm_JointAverage,62.66855627904198,21.401613611620018
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,28720.953479805336,23426.266796606873
wavelet-LLH_glcm_Idmn,0.990495717399213,0.0056923659355492566
wavelet-LLL_firstorder_RobustMeanAbsoluteDeviation,5.392785447127685,0.6395793777473148
wavelet-HLL_glcm_Idm,0.10682441968466705,0.022373781244819656
wavelet-LLH_glcm_Idm,0.1767642369155024,0.029685154443607087
wavelet-LHH_firstorder_Range,142.5132075471698,49.62281139220508
wavelet-LLL_firstorder_MeanAbsoluteDeviation,7.685828693785136,0.5841057276943958
wavelet-LHL_glcm_JointAverage,77.74767539561694,29.721630146518304
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,15100.347056222648,9375.976373046704
wavelet-LLH_firstorder_Entropy,4.963812076903687,0.294083008866496
wavelet-LHL_glrlm_GrayLevelVariance,119.69194776869837,51.80078243833414
wavelet-HLH_ngtdm_Strength,4.383539033045224,4.164096307802368
wavelet-LHL_glcm_Idmn,0.9893123617294659,0.005603982164839319
wavelet-HLH_firstorder_Variance,120.41750325768515,61.21760653128439
wavelet-LLL_gldm_GrayLevelVariance,98.16919370024583,11.757531946835487
wavelet-HLH_firstorder_InterquartileRange,12.174528301886792,3.089843719585694
wavelet-LHL_firstorder_Maximum,261.4735849056604,20.275188396336592
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,4530.589993258444,3199.1820722264306
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,4333.189479215436,2899.9288575840446
wavelet-LHH_glcm_Imc2,0.6692232562787087,0.15212541466220555
wavelet-HHL_glcm_Autocorrelation,4209.807308217017,2874.5244317986503
wavelet-LHH_gldm_HighGrayLevelEmphasis,5300.174047136061,3863.3992910692937
wavelet-HHL_firstorder_Skewness,0.034661011313465086,0.16600944846073729
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,7717.7512119175135,6223.44971442724
wavelet-LHH_ngtdm_Complexity,43980.35846712333,32340.259492569756
wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,1100.9357360672284,300.37576652613507
wavelet-LLL_glszm_ZoneEntropy,7.250271655283129,0.238939656280616
wavelet-HLL_ngtdm_Strength,5.045946691852938,5.137203937583917
wavelet-LHH_glcm_SumAverage,136.49227214893966,45.70564911309664
wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,780.8493547384279,218.20778512545323
wavelet-HHL_ngtdm_Complexity,37313.55071871536,21884.84657420789
wavelet-LHH_glcm_Contrast,223.02870748219428,119.70002895070041
wavelet-LLH_glcm_Idn,0.9408111542220741,0.01664552255830307
wavelet-LHL_ngtdm_Complexity,42744.19406815537,24831.086313850286
wavelet-HLH_glcm_Idm,0.10098829081671463,0.02529425376094256
wavelet-LLL_glcm_Idn,0.9432129284018312,0.011486963154444682
wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.03109824655142415,0.006396017196815423
wavelet-LLH_firstorder_Mean,181.72141104257003,1.067350735637681
wavelet-LHL_ngtdm_Contrast,0.18764640187639298,0.12562407184834815
wavelet-LHH_glcm_SumSquares,110.87222425196653,59.01706194078236
wavelet-LLH_firstorder_MeanAbsoluteDeviation,6.201396877234799,2.317592444485675
wavelet-LHL_gldm_HighGrayLevelEmphasis,7054.596829485265,5698.789538983702
wavelet-LHL_glcm_SumSquares,107.59506119957409,44.58288013544053
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,5329.591871974624,3868.470345022484
wavelet-LLH_glcm_Id,0.26436562639521055,0.03082001576441485
wavelet-HLL_glrlm_RunEntropy,5.541309312892289,0.23209281807260726
wavelet-HLH_gldm_GrayLevelVariance,120.41750325768515,61.21760653128438
wavelet-LLL_firstorder_Uniformity,0.031164187139271764,0.003050303282061188
wavelet-LHL_firstorder_90Percentile,208.76679245283017,2.6635539980110035
wavelet-HHH_firstorder_RootMeanSquared,156.4101613809997,0.22513665644848266
wavelet-LLL_glcm_SumSquares,89.85662332639943,12.605352965743156
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.5807973899674799,0.05426752190467915
wavelet-LLL_firstorder_Range,82.25283018867924,16.199005370975712
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,8194.07317841848,3191.6112459893084
wavelet-HHH_glcm_SumAverage,125.33711255808396,42.803227223240036
wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,5.152467638420257,1.2964044306974107
wavelet-LHH_glcm_JointAverage,68.24613607446983,22.85282455654832
wavelet-HLL_glcm_ClusterTendency,231.47968838957715,95.7379463915762
wavelet-HLL_firstorder_Variance,118.101288430359,49.369597800680225
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.0005136215163913354,0.0004484492953659788
wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,7087.865029995482,5707.926414739389
wavelet-HLL_firstorder_MeanAbsoluteDeviation,7.856839990114562,1.5114254908660552
wavelet-HLL_firstorder_90Percentile,258.99849056603773,2.87265533348596
wavelet-HLH_glcm_SumSquares,111.57857637039476,55.69079193896729
wavelet-LHH_glcm_ClusterTendency,220.46018952567192,116.56758976160917
wavelet-HHH_glcm_Autocorrelation,4381.31135926013,3151.9150846887705
wavelet-HLL_glszm_ZonePercentage,0.668143476104467,0.07115649340069884
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,6901.513875887025,5576.409409426325
wavelet-LHL_glcm_SumAverage,155.49535079123385,59.44326029303658
wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,3369.4669601649316,2662.443837687553
wavelet-HLL_glcm_Id,0.18790105875453608,0.026743204975896252
wavelet-HHL_glcm_JointAverage,61.760146917851806,19.954807943383273
wavelet-LHL_firstorder_InterquartileRange,12.008962264150943,2.385399744691072
wavelet-LLL_glcm_ClusterTendency,310.1377180693438,53.15801674343323
wavelet-LLH_glcm_Imc1,-0.09301273918856579,0.04528437314487356
wavelet-HHH_firstorder_Range,123.30566037735849,41.51963579608296
wavelet-LLH_firstorder_Skewness,0.0033334339945839636,1.114268336119606
wavelet-HLH_ngtdm_Busyness,0.23616851569724853,0.3524906448763078
