影像号,读者,read,n4,resample,align,crop,zscore,save,total
IMG-16B3264BD9,R1,0.194,6.339,1.466,0.0,0.019,0.009,0.006,8.034
IMG-16B3264BD9,R2,0.173,8.53,0.0,1.137,0.024,0.008,0.006,9.878
IMG-D912BD7931,R1,0.113,3.406,0.949,0.0,0.011,0.005,0.005,4.488
IMG-34B5A93F0D,R1,0.084,4.273,1.34,0.0,0.035,0.011,0.009,5.752
IMG-34B5A93F0D,R2,0.112,4.562,0.0,1.483,0.037,0.011,0.01,6.215
IMG-893073F906,R1,0.322,13.706,3.036,0.0,0.03,0.006,0.005,17.106
IMG-893073F906,R2,0.224,8.206,0.0,0.966,0.033,0.007,0.005,9.442
IMG-EE9195B25E,R1,0.126,4.298,0.953,0.0,0.016,0.006,0.004,5.403
IMG-EE9195B25E,R2,0.104,3.937,0.0,1.008,0.018,0.006,0.004,5.078
IMG-73F9CFC758,R1,0.089,3.544,0.953,0.0,0.068,0.048,0.017,4.72
IMG-BC631D0348,R1,0.156,6.417,1.577,0.0,0.021,0.009,0.009,8.188
IMG-44D24E8682,R1,0.19,5.706,0.901,0.0,0.015,0.006,0.004,6.822
IMG-8F0C09D99C,R1,0.091,3.281,0.648,0.0,0.009,0.004,0.004,4.037
IMG-8F0C09D99C,R2,0.083,3.071,0.0,0.644,0.011,0.004,0.005,3.819
IMG-EDA063D47C,R1,0.112,5.317,1.69,0.0,0.065,0.009,0.007,7.201
IMG-EDA063D47C,R2,0.134,5.362,0.0,2.006,0.073,0.011,0.008,7.594
IMG-0BBC1DBA30,R1,0.14,6.391,1.207,0.0,0.02,0.013,0.012,7.784
IMG-AF5A3DA75D,R1,0.056,1.279,0.55,0.0,0.024,0.012,0.008,1.928
IMG-AF5A3DA75D,R2,0.099,2.434,0.0,0.824,0.028,0.011,0.008,3.403
IMG-7350051976,R1,0.147,5.518,1.314,0.0,0.021,0.012,0.006,7.019
IMG-7350051976,R2,0.127,5.371,0.0,1.207,0.025,0.008,0.008,6.746
IMG-4950E13031,R1,0.14,6.293,1.604,0.0,0.015,0.007,0.006,8.065
IMG-4950E13031,R2,0.167,5.224,0.0,0.819,0.017,0.007,0.005,6.239
IMG-182FA24923,R1,0.131,6.158,1.415,0.0,0.016,0.009,0.005,7.734
IMG-182FA24923,R2,0.149,6.147,0.0,1.149,0.02,0.009,0.007,7.481
