影像号,读者,read,n4,resample,align,crop,zscore,save,total
IMG-EE9195B25E,R2,0.176,6.28,0.0,1.719,0.033,0.003,0.013,8.223
IMG-73F9CFC758,R1,0.164,5.84,1.301,0.0,0.021,0.002,0.008,7.336
IMG-BC631D0348,R1,0.149,5.516,1.337,0.0,0.019,0.001,0.007,7.028
IMG-44D24E8682,R1,0.147,5.665,1.422,0.0,0.032,0.002,0.008,7.276
IMG-8F0C09D99C,R1,0.143,5.192,1.266,0.0,0.016,0.001,0.008,6.626
IMG-8F0C09D99C,R2,0.141,5.089,0.0,1.235,0.017,0.001,0.007,6.49
IMG-EDA063D47C,R1,0.177,8.223,2.574,0.0,0.07,0.005,0.011,11.058
IMG-EDA063D47C,R2,0.222,7.603,0.0,2.54,0.099,0.006,0.009,10.477
IMG-0BBC1DBA30,R1,0.177,5.783,1.318,0.0,0.02,0.003,0.008,7.311
IMG-AF5A3DA75D,R1,0.06,1.31,0.581,0.0,0.024,0.002,0.008,1.986
IMG-AF5A3DA75D,R2,0.1,2.391,0.0,0.757,0.033,0.003,0.01,3.295
IMG-7350051976,R1,0.181,5.698,1.312,0.0,0.022,0.002,0.01,7.225
IMG-7350051976,R2,0.15,5.407,0.0,1.353,0.024,0.002,0.011,6.948
IMG-4950E13031,R1,0.149,5.034,1.349,0.0,0.028,0.005,0.01,6.575
IMG-4950E13031,R2,0.134,4.989,0.0,1.415,0.026,0.003,0.012,6.579
IMG-182FA24923,R1,0.147,5.722,1.695,0.0,0.021,0.002,0.007,7.593
IMG-182FA24923,R2,0.152,6.192,0.0,1.482,0.023,0.002,0.008,7.859
