影像号,reader,structural_state,status,failure_class,failure_reason,diagnostics_Configuration_EnabledImageTypes,diagnostics_Configuration_Settings,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Hash,diagnostics_Image-original_Maximum,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Size,diagnostics_Image-original_Spacing,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_CenterOfMass,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Size,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_VoxelNum,diagnostics_Versions_Numpy,diagnostics_Versions_PyRadiomics,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Versions_SimpleITK
IMG-EC1E7A94F3,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,b73e6e230cf572f419b10e49f4ac3767003d49a2,6.262270450592041,2.417153580719276,0.31244534254074097,"(42, 39, 33)","(1.0000000000000002, 0.9999999999999999, 2.0)","(5, 5, 5, 32, 29, 23)","(-0.12904438676200414, 4.727523227646273, -7.76030045439326)","(22.58901292596945, 17.758078730904817, 16.03451821386604)",ac1b8bd672ac9ee8909eeb4566d6091b7d2cdc7d,"(42, 39, 33)","(1.0000000000000002, 0.9999999999999999, 2.0)",1.0,6808.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-63FD509047,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,173b0aa2b6dc632fda5ed319b1159984f7dfb491,8.239157676696777,2.8965200893758927,-0.04757596552371979,"(52, 55, 33)","(1.0, 1.0, 2.0)","(5, 5, 5, 42, 45, 25)","(5.659241300215882, 26.281919533702837, 29.54511130661963)","(24.778333695888623, 27.642375462257995, 16.154013487056776)",a80444448bd7e973502b6499dfcc5737703f1438,"(52, 55, 33)","(1.0, 1.0, 2.0)",1.0,13791.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-83994CA207,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,7071628a0ca0ab77da532d75c9bb7996d96580c6,6.76779842376709,2.739934367416064,0.0,"(49, 39, 27)","(0.9999999999999999, 1.0, 2.0)","(5, 5, 3, 39, 29, 23)","(-2.245129494331195, 46.95749278346409, 16.88016881108533)","(22.3538222410626, 19.639536526776883, 14.245301681503461)",4fc4651da06f1f9f31411f796ca8f4084772711f,"(49, 39, 27)","(0.9999999999999999, 1.0, 2.0)",2.0,7077.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-BB361E6F33,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,57f350b9a1ca7a97330609e4a287c72a6f7864d8,12.514646530151367,4.032936694750867,0.0,"(45, 41, 29)","(0.9999999999999998, 0.9999999999999999, 2.0)","(12, 5, 5, 28, 30, 20)","(-1.9261279600494667, 33.302881604568995, -4.052512218072589)","(27.578535056795925, 16.412455934195066, 15.617704661182922)",a039a9359714ac497c032c36a340e2d8a77208e4,"(45, 41, 29)","(0.9999999999999998, 0.9999999999999999, 2.0)",8.0,2553.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-29CE8C38A1,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,a531f7865beea4c214a8df46aef80615397d870a,7.419909954071045,3.2789189094070332,0.3782691955566406,"(56, 51, 26)","(1.0, 0.9999999999999999, 2.0)","(5, 5, 0, 46, 41, 21)","(-6.466804580218639, 24.50800818976079, -34.44820952776347)","(26.827383326685283, 25.086457917830074, 9.22975668129238)",1ba02507975061ba52bd6d259e625432aa65f5dc,"(56, 51, 26)","(1.0, 0.9999999999999999, 2.0)",1.0,10028.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-36EEC399FC,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,203fa6c40933e6bfaf30cbdb647813492a95e962,7.804792881011963,3.673762389704908,0.38692787289619446,"(42, 48, 26)","(0.9999999999999999, 1.0, 1.9999999999999998)","(5, 5, 3, 32, 38, 18)","(-8.1239997549667, 32.966461215300704, 60.41375908100371)","(21.830235439900868, 23.813713341594383, 10.989260636100784)",045ef9b9aa409f044c00b74cf3303713c99b4fb1,"(42, 48, 26)","(0.9999999999999999, 1.0, 1.9999999999999998)",1.0,4842.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-E740D52D51,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,6496eae7b877dd6613dd443957ac8f617e92dea6,14.548617362976074,3.577207097869184,-0.02973734214901924,"(90, 76, 34)","(0.9999999999999998, 1.0, 2.0)","(5, 11, 0, 80, 59, 29)","(-10.709311537525807, 25.927950402779782, 57.96491589716697)","(46.518680445151034, 35.24655537890832, 6.432564917859035)",bbdc12c7384eea85b499a114c93eea11a9803619,"(90, 76, 34)","(0.9999999999999998, 1.0, 2.0)",22.0,7548.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-D032350B9E,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,ab51941d88934c57a150440cff1a8f8cdcb2a42d,7.889171600341797,3.034753953365332,0.0,"(35, 28, 27)","(1.0, 1.0000000000000002, 1.9999999999999998)","(5, 5, 5, 25, 18, 19)","(-4.276607150196686, 29.877112802841715, -57.56470982497834)","(17.433007985803016, 12.107364685004436, 13.732919254658386)",45f303146754ee7c67b2d571a2fcd86a5f683728,"(35, 28, 27)","(1.0, 1.0000000000000002, 1.9999999999999998)",1.0,2254.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-1D343A7BA2,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,2e8afe4d885c36c25fec370f8a910b8edb36ab12,10.22502613067627,3.1191822734903445,-0.06210228055715561,"(52, 46, 30)","(1.0, 1.0, 2.0)","(5, 5, 5, 42, 36, 20)","(-5.769779629437604, 32.9600048678072, 19.80654160715791)","(27.498198414604854, 19.18087917367283, 12.035311073744895)",16aed6d7cf20607f26ed9f38850469e3b7ff0b1b,"(52, 46, 30)","(1.0, 1.0, 2.0)",4.0,4163.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-A83F2A8C19,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,9b6652626a5394742e168c045a7abe07f1972a96,8.210809707641602,2.959349057992336,0.2912357747554779,"(43, 49, 29)","(1.0, 1.0, 1.9999999999999998)","(5, 5, 0, 33, 39, 24)","(-24.82205577966635, 33.59074045109158, 34.37971763543985)","(19.84744650124721, 24.354864119732177, 12.342523303137718)",e24ae9e7474f5f138194a6be251f0cff5a10179b,"(43, 49, 29)","(1.0, 1.0, 1.9999999999999998)",1.0,7617.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
