影像号,reader,structural_state,status,failure_class,failure_reason,diagnostics_Configuration_EnabledImageTypes,diagnostics_Configuration_Settings,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Hash,diagnostics_Image-original_Maximum,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Size,diagnostics_Image-original_Spacing,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_CenterOfMass,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Size,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_VoxelNum,diagnostics_Versions_Numpy,diagnostics_Versions_PyRadiomics,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Versions_SimpleITK
IMG-F07AE3A14A,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,3e624708c2d4b7aea54f5f9afe90b6f621330aa1,8.16063404083252,2.6142351606644825,-0.14930815994739532,"(59, 59, 33)","(1.0, 0.9999999999999999, 2.0)","(11, 10, 5, 31, 38, 27)","(-0.6951212637898578, 34.366474049849195, -0.4617159755835729)","(24.11627906976744, 27.558139534883722, 11.24031007751938)",7041ec03f787037f91e96648d3b547d569c90b40,"(59, 59, 33)","(1.0, 0.9999999999999999, 2.0)",13.0,129.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-0CCEB31762,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,4b15d4691138355b4bde783d3141da2edf71557e,9.790931701660156,3.1913454524376608,0.04219188168644905,"(51, 56, 30)","(1.0, 1.0, 2.0)","(5, 5, 5, 40, 43, 23)","(-11.255228355192514, 48.88952084865072, -3.2866798307382794)","(24.41215106732348, 22.144648454993284, 13.31765935214211)",cb2e61a980afe6473f28c60133f65b2300a457f0,"(51, 56, 30)","(1.0, 1.0, 2.0)",5.0,6699.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-8605D71E24,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,945e33db9aa77b71933eaae54fa76c37efde3c5f,11.425703048706055,3.6148316299887644,-0.19239480793476105,"(39, 39, 33)","(1.0, 1.0, 2.0)","(5, 6, 5, 28, 28, 23)","(-25.254234968358887, 60.4518810218983, 4.8121030693677085)","(17.80049109883364, 21.08379373848987, 15.827501534683854)",65e7edd3448aa47a940ed6867938be9f88e713c9,"(39, 39, 33)","(1.0, 1.0, 2.0)",3.0,3258.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-76EDC743AD,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,17d3c9b2bae817e40bfc52ff7f74bdfaf0068576,8.886651039123535,2.711164960718668,0.0,"(41, 45, 33)","(1.0000000000000002, 0.9999999999999999, 2.0)","(7, 13, 10, 21, 24, 15)","(-5.552897501669625, 34.10515874423048, -12.067916905708458)","(12.858231707317072, 27.73170731707317, 16.852134146341463)",67de77e2d9dbb5bb167508c94465ba9c6c6f6913,"(41, 45, 33)","(1.0000000000000002, 0.9999999999999999, 2.0)",7.0,656.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-13AB453ACC,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,ab275653ceab78cd045c8ec62571ba65ae9e92ca,8.410943031311035,2.5734216292558907,-0.03689882904291153,"(66, 92, 34)","(0.9999999999999999, 1.0, 2.0)","(15, 44, 1, 45, 41, 21)","(1.2111645238107265, 61.1082143436687, 46.46360182620013)","(34.15367146101438, 64.49583648750946, 13.112793338380015)",1057c4ec35bed8130c27340dc17b3877ea01ddf3,"(66, 92, 34)","(0.9999999999999999, 1.0, 2.0)",19.0,1321.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-F990629A43,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,4d34e7a53e165be0e28a13541eef12297e40f3a1,11.354360580444336,3.1332013367001554,0.2568661868572235,"(39, 45, 31)","(0.9999999999999999, 1.0000000000000002, 2.0)","(7, 5, 3, 27, 28, 23)","(-21.134769760683398, 51.13923502366458, 45.63246212525671)","(17.93984962406015, 18.048872180451127, 12.259398496240602)",8d0576aea718b0b09d8c72349578eb3e1703ca26,"(39, 45, 31)","(0.9999999999999999, 1.0000000000000002, 2.0)",26.0,266.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-EE31B11EBE,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,503b307d1ce35a2c29499032df41e7a7c03f7a6c,9.216907501220703,3.0720985039585837,-0.154947891831398,"(42, 48, 26)","(1.0, 1.0, 1.9999999999999998)","(6, 8, 5, 29, 31, 16)","(-8.196640053050405, 37.606254376657844, -6.822340583554375)","(20.3262599469496, 28.583554376657826, 8.294429708222811)",fd114fd91b4d9909cdccf8d2da71e5e3a9d9a5bc,"(42, 48, 26)","(1.0, 1.0, 1.9999999999999998)",8.0,754.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-94E4BDAA75,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,439d66a33feac3fe101b639a5182dc8a636e7375,7.961299419403076,3.1853379408977656,0.0,"(54, 44, 34)","(1.0, 0.9999999999999998, 2.0)","(5, 6, 0, 44, 30, 29)","(-10.110137272487929, 56.30879363518902, 24.110232048446047)","(24.603211009174313, 22.1414373088685, 7.569571865443425)",492e387f8c7c987ab731369a69a65fa9708dda0a,"(54, 44, 34)","(1.0, 0.9999999999999998, 2.0)",11.0,1308.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-38EF930E76,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,1eed433e1a5530786d56f466ef0406f5f25b824b,11.306367874145508,4.271144439853945,-0.21638762950897217,"(66, 68, 38)","(1.0, 1.0, 1.9999999999999996)","(5, 5, 5, 56, 58, 28)","(-4.596874631997725, 52.27369061805349, 1.54711342143451)","(30.592785402534574, 36.67355524004838, 18.1437661040122)",8fc88a2d95270785940ef4a52c75d2a487fe8824,"(66, 68, 38)","(1.0, 1.0, 1.9999999999999996)",1.0,19017.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
IMG-41EAFCF85F,R1,dual-habitat,extractable,none,,{'Original': {}},"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 0.248808}",3D,bb21909529f22fbbe0cbeadd43e42990a86a82fe,12.025793075561523,4.136670733550091,0.1426420658826828,"(49, 37, 28)","(0.9999999999999999, 1.0, 2.0)","(5, 5, 5, 38, 27, 18)","(1.507227066732419, 61.391763024952084, -32.247203997260534)","(25.458956655159188, 20.747219025700037, 12.852704257767549)",2c872c8e112ef66707f1e567dd847bde557c2909,"(49, 37, 28)","(0.9999999999999999, 1.0, 2.0)",4.0,5214.0,1.21.6,v3.0.1,1.3.0,3.7.12,2.2.1
