feature,stage,reason
original_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
original_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
original_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
original_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
original_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
original_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
original_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
original_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
original_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
original_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
original_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
original_firstorder_Energy,icc,ICC_A=0.576 ≤ 0.75
original_firstorder_Kurtosis,icc,ICC_A=0.295 ≤ 0.75
original_firstorder_Maximum,icc,ICC_A=0.599 ≤ 0.75
original_firstorder_Minimum,icc,ICC_A=0.273 ≤ 0.75
original_firstorder_Range,icc,ICC_A=0.544 ≤ 0.75
original_firstorder_Skewness,icc,ICC_A=0.523 ≤ 0.75
original_firstorder_TotalEnergy,icc,ICC_A=0.576 ≤ 0.75
original_firstorder_Variance,icc,ICC_A=0.694 ≤ 0.75
original_glcm_Autocorrelation,icc,ICC_A=0.692 ≤ 0.75
original_glcm_ClusterProminence,icc,ICC_A=0.427 ≤ 0.75
original_glcm_ClusterShade,icc,ICC_A=0.400 ≤ 0.75
original_glcm_ClusterTendency,icc,ICC_A=0.715 ≤ 0.75
original_glcm_Contrast,icc,ICC_A=0.636 ≤ 0.75
original_glcm_DifferenceAverage,icc,ICC_A=0.747 ≤ 0.75
original_glcm_DifferenceVariance,icc,ICC_A=0.580 ≤ 0.75
original_glcm_Idmn,icc,ICC_A=0.645 ≤ 0.75
original_glcm_Idn,icc,ICC_A=0.612 ≤ 0.75
original_glcm_SumSquares,icc,ICC_A=0.704 ≤ 0.75
original_glrlm_GrayLevelVariance,icc,ICC_A=0.690 ≤ 0.75
original_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.676 ≤ 0.75
original_glrlm_LongRunHighGrayLevelEmphasis,icc,ICC_A=0.676 ≤ 0.75
original_glrlm_RunLengthNonUniformity,icc,ICC_A=0.698 ≤ 0.75
original_glrlm_ShortRunHighGrayLevelEmphasis,icc,ICC_A=0.675 ≤ 0.75
original_glszm_GrayLevelNonUniformity,icc,ICC_A=0.737 ≤ 0.75
original_glszm_GrayLevelVariance,icc,ICC_A=0.615 ≤ 0.75
original_glszm_HighGrayLevelZoneEmphasis,icc,ICC_A=0.629 ≤ 0.75
original_glszm_LargeAreaHighGrayLevelEmphasis,icc,ICC_A=0.750 ≤ 0.75
original_glszm_SizeZoneNonUniformity,icc,ICC_A=0.556 ≤ 0.75
original_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.556 ≤ 0.75
original_glszm_SmallAreaEmphasis,icc,ICC_A=0.545 ≤ 0.75
original_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.599 ≤ 0.75
original_gldm_DependenceEntropy,icc,ICC_A=0.746 ≤ 0.75
original_gldm_DependenceNonUniformity,icc,ICC_A=0.623 ≤ 0.75
original_gldm_GrayLevelVariance,icc,ICC_A=0.694 ≤ 0.75
original_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.679 ≤ 0.75
original_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.697 ≤ 0.75
original_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.641 ≤ 0.75
original_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.700 ≤ 0.75
original_ngtdm_Coarseness,icc,ICC_A=0.684 ≤ 0.75
original_ngtdm_Complexity,icc,ICC_A=0.436 ≤ 0.75
original_ngtdm_Strength,icc,ICC_A=0.706 ≤ 0.75
original_shape_Maximum2DDiameterColumn,correlation,|r|=0.941 与 original_shape_MajorAxisLength
original_firstorder_MeanAbsoluteDeviation,correlation,|r|=0.935 与 original_firstorder_InterquartileRange
original_firstorder_Mean,correlation,|r|=0.976 与 original_firstorder_Entropy
original_firstorder_Median,correlation,|r|=0.961 与 original_firstorder_Entropy
