feature,mean_A,std_A
log-sigma-2-0-mm-3D_glszm_ZoneEntropy,7.2227738014054745,0.3287213278198438
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.3758606531800493,0.06015772989780499
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,20830.728189954254,15665.578147124945
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.0023679560526444162,0.002713791309216908
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0006879494657967819,0.0006732352844751409
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.33572383661930494,0.43147057490518087
log-sigma-2-0-mm-3D_firstorder_Minimum,81.77924528301887,16.558596450530896
log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.004315335034194421,0.007565146695564437
log-sigma-3-0-mm-3D_glszm_ZoneEntropy,7.2799706550124474,0.4104967616082806
log-sigma-3-0-mm-3D_firstorder_Kurtosis,3.101985951926504,0.9844122312526259
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,170.86409731577112,177.22439001876504
log-sigma-3-0-mm-3D_gldm_DependenceEntropy,7.775568382941427,0.2937456457733703
log-sigma-2-0-mm-3D_glcm_Idmn,0.9926851164333237,0.002763531412993485
log-sigma-3-0-mm-3D_glcm_Idmn,0.9940391417453469,0.0024354663004109225
log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,19.323023412515003,186.84697048109123
log-sigma-1-0-mm-3D_glszm_ZoneVariance,118.49436749146605,1457.0290161071882
log-sigma-2-0-mm-3D_firstorder_Kurtosis,3.519391059899595,1.114990600371415
log-sigma-1-0-mm-3D_ngtdm_Strength,3.306339200698681,3.0937603877625452
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,5.600716837226973,52.370816956169115
log-sigma-1-0-mm-3D_glcm_Imc2,0.7176976542453513,0.0984291519034345
log-sigma-2-0-mm-3D_glcm_JointEnergy,0.0038799861148169474,0.004880822112149489
log-sigma-1-0-mm-3D_glcm_Imc1,-0.08516500293427826,0.03862672432360321
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,1991.1296360534325,1519.2092133349058
log-sigma-1-0-mm-3D_glcm_Idm,0.16976358281752488,0.0494188911354892
log-sigma-3-0-mm-3D_firstorder_Range,56.737735849056605,20.01586848228264
log-sigma-2-0-mm-3D_glrlm_RunEntropy,5.480981799120362,0.38803028686427277
log-sigma-3-0-mm-3D_firstorder_InterquartileRange,12.30188679245283,4.516781729808429
log-sigma-1-0-mm-3D_firstorder_10Percentile,157.1520754716981,5.26328377249182
log-sigma-2-0-mm-3D_glcm_ClusterShade,-403.02643189830536,4561.2789556664875
log-sigma-3-0-mm-3D_glcm_Idn,0.9479746556947567,0.01052744099477888
log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0007146719187303528,0.0006352603114342717
log-sigma-2-0-mm-3D_firstorder_Skewness,-0.04463610226066819,0.4330065830069009
log-sigma-1-0-mm-3D_glcm_Id,0.2585194763962391,0.05151762227668369
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,6.929660223472511,2.4517354149496136
log-sigma-3-0-mm-3D_ngtdm_Contrast,0.0807306571911609,0.04416835419527891
log-sigma-2-0-mm-3D_ngtdm_Contrast,0.0953185060121164,0.05436197432014581
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.034076270736854035,0.01355467903447581
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.03183680362564576,0.011375109171693817
log-sigma-3-0-mm-3D_firstorder_Mean,96.39152672206238,4.09756390070484
log-sigma-3-0-mm-3D_firstorder_Skewness,-0.21343323747761075,0.4171172118696043
log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,96.83221634587544,4.050978939758882
log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,436.7494173033906,594.1909517957816
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,4.960459655919456,1.8016729181677538
log-sigma-3-0-mm-3D_glrlm_LongRunEmphasis,1.4862556001814968,0.41322231926270386
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,123.267032136325,1458.9928610572115
log-sigma-1-0-mm-3D_shape_LeastAxisLength,25.38934824314812,8.94216306984735
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.03922321900282152,0.018129658631637107
log-sigma-2-0-mm-3D_glcm_Idn,0.9431977263676319,0.010806632605129747
log-sigma-1-0-mm-3D_shape_MajorAxisLength,46.228998320405665,12.815792887522871
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.03838771159373818,0.016865027613690593
log-sigma-3-0-mm-3D_glrlm_RunVariance,0.20454955402044567,0.19546051946750734
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,24091.316634128296,18048.81492892408
