feature,stage,reason
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,icc,ICC_A=0.423 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,icc,ICC_A=0.538 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,icc,ICC_A=0.567 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,icc,ICC_A=0.693 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,icc,ICC_A=0.688 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,icc,ICC_A=0.200 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.565 ≤ 0.75
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,icc,ICC_A=0.579 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,icc,ICC_A=0.497 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,icc,ICC_A=0.601 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,icc,ICC_A=0.502 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.203 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.317 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.472 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.465 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.213 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.405 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.691 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.208 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Contrast,icc,ICC_A=0.694 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-2-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-2-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-2-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-2-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_90Percentile,icc,ICC_A=0.578 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Energy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.747 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.681 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Mean,icc,ICC_A=0.551 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Median,icc,ICC_A=0.366 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Range,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,icc,ICC_A=0.509 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.724 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Variance,icc,ICC_A=0.684 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Autocorrelation,icc,ICC_A=0.697 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.465 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_ClusterTendency,icc,ICC_A=0.647 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Contrast,icc,ICC_A=0.714 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Correlation,icc,ICC_A=0.584 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.702 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Imc1,icc,ICC_A=0.600 ≤ 0.75
