split,n,frac_below_mean,frac_above_mean,n_any_below,n_any_above,roi_min,roi_max
A,530,0.0,4.926290865553246e-08,0,1,-0.1043835803866386,12.913870811462402
B,163,4.493586304267918e-07,0.0,1,0,-0.2587817907333374,10.806132316589355
