影像号,读者,filter,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass
IMG-5B9E750116,R1,log-sigma-3-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},e70636535a0e1c3f9bd06135ffa99143633dc8a6,3D,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)",68.44794639359857,16.0,108.0,cfd8560dcfb5b1e76629428b9519f899dee283f3,"(1.0, 0.9999999999999999, 2.0)","(46, 42, 37)","(5, 5, 3, 36, 32, 30)",7901,1,"(22.790532843943804, 20.52727502847741, 17.694215922035184)","(0.9417005722287186, 37.68675923936933, -8.044396707770563)"
IMG-81E9925726,R1,wavelet-LLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},15813e6f4305cdf6f05fc103ca7256dbb5c1dac1,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",181.11383297793034,125.0,233.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-LHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},e95861e0adde9d9aa63c40db2e36c92d7fe83151,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",196.0231965465231,118.0,258.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-LHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},d9f1f5cea691ba384f48debe069a4e4d0a6eb3be,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",194.03833151297655,135.0,262.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-HLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},1e1372a18d99a478a567b8b7a0f98a17dbc7e6a0,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",246.25391376709834,178.0,310.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-HLH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},2b7f0abcbb1126face011b4d3c0cbf6dbbf829fc,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",159.5303652849292,95.0,221.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-HHL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},1c8dd7b5b12991f59d952c7e9a7a7136d26c37d7,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",159.12180787434338,114.0,207.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-HHH,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},263e5fb91ab7264093e0e6b40b9bde9ff23eca2f,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",156.02470484214905,107.0,213.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,wavelet-LLL,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},cb46073d45c58ccfcf13ee565989bd6d69dbcc98,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",49.448015811098976,12.0,94.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
IMG-81E9925726,R1,log-sigma-1-0-mm-3D,v3.0.1,1.21.6,2.2.1,1.3.0,3.7.12,"{'minimumROIDimensions': 2, 'minimumROISize': 10, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 0, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 1.0}",{'Original': {}},fb49082b28b547e26428da639547c1b64fb8fd9e,3D,"(1.0, 1.0, 2.0)","(51, 39, 29)",128.11709228342087,83.0,178.0,36609a99d6e7d0e5f49613cd82c406ef8e11ae54,"(1.0, 1.0, 2.0)","(51, 39, 29)","(5, 5, 5, 41, 29, 19)",7865,1,"(25.974825174825174, 17.504005085823266, 14.106929434202161)","(0.5974391763983853, 39.39506360228509, -23.31354113159569)"
