filter,binWidth,n_bins,grid_min,grid_max
log-sigma-1-0-mm-3D,0.047073,248,-6.006035,5.621095
log-sigma-2-0-mm-3D,0.061946,148,-4.933035,4.172968
log-sigma-3-0-mm-3D,0.071218,136,-4.889952,4.724451
wavelet-HHH,0.03244,336,-5.045277,5.822224
wavelet-HHL,0.069241,316,-10.983223,10.827692
wavelet-HLH,0.038528,327,-6.127175,6.432986
wavelet-HLL,0.086342,378,-21.217833,11.332913
wavelet-LHH,0.038763,434,-7.502256,9.28221
wavelet-LHL,0.085809,336,-16.784159,11.961722
wavelet-LLH,0.101968,390,-18.430126,21.235309
wavelet-LLL,0.249038,142,-10.983818,24.130611
