repeat_id,fold,imputation,radiomics_after_filter,model2_nonzero,model3_radiomics_nonzero
3,4,4,106,0,0
3,4,5,106,0,0
3,4,6,106,0,0
3,4,7,106,0,0
3,4,8,106,0,0
3,4,9,106,0,0
3,4,10,106,0,0
3,4,11,106,0,0
3,4,12,106,0,0
3,4,13,106,0,0
3,4,14,106,0,0
3,4,15,106,0,0
3,4,16,106,0,0
3,4,17,106,0,0
3,4,18,106,0,0
3,4,19,106,0,0
3,4,20,106,0,0
3,5,1,106,8,0
3,5,2,106,8,0
3,5,3,106,8,0
3,5,4,106,8,0
3,5,5,106,8,0
3,5,6,106,8,0
3,5,7,106,8,0
3,5,8,106,8,0
3,5,9,106,8,0
3,5,10,106,8,0
3,5,11,106,8,0
3,5,12,106,8,0
3,5,13,106,8,0
3,5,14,106,8,0
3,5,15,106,8,0
3,5,16,106,8,0
3,5,17,106,8,0
3,5,18,106,8,0
3,5,19,106,8,0
3,5,20,106,8,0
4,1,1,108,1,0
4,1,2,108,1,0
4,1,3,108,1,0
4,1,4,108,1,0
4,1,5,108,1,0
4,1,6,108,1,0
4,1,7,108,1,0
4,1,8,108,1,0
4,1,9,108,1,0
4,1,10,108,1,0
4,1,11,108,1,0
4,1,12,108,1,0
4,1,13,108,1,0
4,1,14,108,1,0
4,1,15,108,1,0
4,1,16,108,1,0
4,1,17,108,1,0
4,1,18,108,1,0
4,1,19,108,1,0
4,1,20,108,1,0
4,2,1,106,0,0
4,2,2,106,0,0
4,2,3,106,0,0
4,2,4,106,0,0
4,2,5,106,0,0
4,2,6,106,0,0
4,2,7,106,0,0
4,2,8,106,0,0
4,2,9,106,0,0
4,2,10,106,0,0
4,2,11,106,0,0
4,2,12,106,0,0
4,2,13,106,0,0
4,2,14,106,0,0
4,2,15,106,0,0
4,2,16,106,0,0
4,2,17,106,0,0
4,2,18,106,0,0
4,2,19,106,0,0
4,2,20,106,0,0
4,3,1,102,0,0
4,3,2,102,0,0
4,3,3,102,0,0
4,3,4,102,0,0
4,3,5,102,0,0
4,3,6,102,0,0
4,3,7,102,0,0
4,3,8,102,0,0
4,3,9,102,0,0
4,3,10,102,0,0
4,3,11,102,0,0
4,3,12,102,0,0
4,3,13,102,0,0
4,3,14,102,0,0
4,3,15,102,0,0
4,3,16,102,0,0
4,3,17,102,0,0
4,3,18,102,0,0
4,3,19,102,0,0
4,3,20,102,0,0
4,4,1,103,9,0
4,4,2,103,9,0
4,4,3,103,9,4
4,4,4,103,9,0
4,4,5,103,9,0
4,4,6,103,9,0
4,4,7,103,9,0
4,4,8,103,9,0
4,4,9,103,9,0
4,4,10,103,9,0
4,4,11,103,9,3
4,4,12,103,9,0
4,4,13,103,9,0
4,4,14,103,9,0
4,4,15,103,9,4
4,4,16,103,9,0
4,4,17,103,9,0
4,4,18,103,9,0
4,4,19,103,9,0
4,4,20,103,9,0
4,5,1,100,0,0
4,5,2,100,0,0
4,5,3,100,0,0
4,5,4,100,0,0
4,5,5,100,0,0
4,5,6,100,0,0
4,5,7,100,0,0
4,5,8,100,0,0
4,5,9,100,0,0
4,5,10,100,0,0
4,5,11,100,0,0
4,5,12,100,0,0
4,5,13,100,0,0
4,5,14,100,0,0
4,5,15,100,0,0
4,5,16,100,0,0
4,5,17,100,0,0
4,5,18,100,0,0
4,5,19,100,0,0
4,5,20,100,0,0
5,1,1,102,0,0
5,1,2,102,0,0
5,1,3,102,0,0
5,1,4,102,0,0
5,1,5,102,0,0
5,1,6,102,0,0
5,1,7,102,0,0
5,1,8,102,0,0
5,1,9,102,0,0
5,1,10,102,0,0
5,1,11,102,0,0
5,1,12,102,0,0
5,1,13,102,0,0
5,1,14,102,0,0
5,1,15,102,0,0
5,1,16,102,0,0
5,1,17,102,0,0
5,1,18,102,0,0
5,1,19,102,0,0
5,1,20,102,0,0
5,2,1,104,9,0
5,2,2,104,9,0
5,2,3,104,9,0
5,2,4,104,9,0
5,2,5,104,9,0
5,2,6,104,9,0
5,2,7,104,9,0
5,2,8,104,9,0
5,2,9,104,9,0
5,2,10,104,9,0
5,2,11,104,9,0
5,2,12,104,9,0
5,2,13,104,9,0
5,2,14,104,9,0
5,2,15,104,9,0
5,2,16,104,9,0
5,2,17,104,9,0
5,2,18,104,9,0
5,2,19,104,9,0
5,2,20,104,9,0
5,3,1,107,0,0
5,3,2,107,0,0
5,3,3,107,0,0
5,3,4,107,0,0
5,3,5,107,0,0
5,3,6,107,0,0
5,3,7,107,0,0
5,3,8,107,0,0
5,3,9,107,0,0
5,3,10,107,0,0
5,3,11,107,0,0
5,3,12,107,0,0
5,3,13,107,0,0
5,3,14,107,0,0
5,3,15,107,0,0
5,3,16,107,0,0
5,3,17,107,0,0
5,3,18,107,0,0
5,3,19,107,0,0
5,3,20,107,0,0
5,4,1,102,0,0
5,4,2,102,0,0
5,4,3,102,0,0
5,4,4,102,0,0
5,4,5,102,0,0
5,4,6,102,0,0
