feature,icc_A,n_A,icc_B,n_B,pass
log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.2112273478520027,22,0.20678477194216613,8,False
log-sigma-1-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.5217162960402456,22,0.5130503406080309,8,False
log-sigma-1-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.4892473104792837,22,0.3619171794236112,8,False
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.6078491455301361,22,0.1902502033602452,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,0.6643243491939221,22,0.49001168381506605,8,False
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.8106868472626774,22,0.7615722508601247,8,True
log-sigma-1-0-mm-3D_glrlm_RunPercentage,0.8213015035983415,22,0.7595796084514354,8,True
log-sigma-1-0-mm-3D_glrlm_RunVariance,0.8320101380888165,22,0.732088939411522,8,True
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.81013568697436,22,0.7637715202112654,8,True
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.20417832643032774,22,0.18771454413450303,8,False
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.4717090726884629,22,0.3164997947352399,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.6873540496409034,22,0.38298662059140626,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.6831984285366949,22,0.35686906392615464,8,False
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.44804955339818664,22,0.07948261278401506,8,False
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.20231316229575974,22,0.13881130111444373,8,False
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,0.7819484282492788,22,0.7752590798599532,8,True
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.8953284603668719,22,0.4832348185685348,8,True
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.581453360218185,22,0.834028912606629,8,False
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.5590998213372828,22,0.30995623442831177,8,False
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.5300024897175413,22,0.1918039624950781,8,False
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.41066648715158416,22,0.7827161267741125,8,False
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,0.4019129188106557,22,0.7811180404586049,8,False
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.19559357645942413,22,0.13956471831084175,8,False
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.5995036997501543,22,0.2516677822712117,8,False
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,0.6873178815504436,22,0.16421564207538744,8,False
log-sigma-1-0-mm-3D_glszm_ZonePercentage,0.7548317514053141,22,0.7316327084397714,8,True
log-sigma-1-0-mm-3D_glszm_ZoneVariance,0.7816102579872575,22,0.7750206661340849,8,True
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,0.4492273555431756,22,0.24460210459166928,8,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,0.5956481003733054,22,0.41082745667947046,8,False
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.8246837088255979,22,0.7253153174306909,8,True
log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.861764152322451,22,0.7131757353955928,8,True
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.8812541880155957,22,0.7023874436417336,8,True
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.5015938346341113,22,0.2209377342425431,8,False
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,0.2042701865443959,22,0.19238320771318979,8,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,0.8269647188459793,22,0.7517054096816119,8,True
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.394427714952766,22,0.36708454740557195,8,False
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,0.5270055189094546,22,0.6602430746376559,8,False
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,0.4863628762928811,22,0.3702051084880414,8,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.7438845530297484,22,0.7450406185873875,8,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.22006056137829785,22,0.18270229224416845,8,False
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.3452495312189664,22,-0.04153615290246665,8,False
log-sigma-1-0-mm-3D_ngtdm_Busyness,0.7335013928021521,22,0.8373283301707707,8,False
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.6966213671706989,22,0.16973988161061024,8,False
log-sigma-1-0-mm-3D_ngtdm_Complexity,0.18672399023615846,22,0.10885270001140535,8,False
log-sigma-1-0-mm-3D_ngtdm_Contrast,0.7209828436045764,22,0.4224503745342647,8,False
log-sigma-1-0-mm-3D_ngtdm_Strength,0.7925778813868458,22,0.8577856559373825,8,True
log-sigma-2-0-mm-3D_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
log-sigma-2-0-mm-3D_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
log-sigma-2-0-mm-3D_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
log-sigma-2-0-mm-3D_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
log-sigma-2-0-mm-3D_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
log-sigma-2-0-mm-3D_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
log-sigma-2-0-mm-3D_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
log-sigma-2-0-mm-3D_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
log-sigma-2-0-mm-3D_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
log-sigma-2-0-mm-3D_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
log-sigma-2-0-mm-3D_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
log-sigma-2-0-mm-3D_firstorder_10Percentile,0.8669482576557553,22,0.45312499999999994,8,True
log-sigma-2-0-mm-3D_firstorder_90Percentile,0.566146210319518,22,0.8467153284671532,8,False
log-sigma-2-0-mm-3D_firstorder_Energy,0.724567433829752,22,0.5427708835433983,8,False
log-sigma-2-0-mm-3D_firstorder_Entropy,0.8497431418027589,22,0.6951656217662658,8,True
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.6783555018137846,22,0.6601941747572817,8,False
log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.7886122992751098,22,0.7179006376859607,8,True
log-sigma-2-0-mm-3D_firstorder_Maximum,0.6672459619709672,22,0.1509433962264151,8,False
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.783620591980713,22,0.6561889528882073,8,True
log-sigma-2-0-mm-3D_firstorder_Mean,0.550863649915857,22,0.7664711930724004,8,False
log-sigma-2-0-mm-3D_firstorder_Median,0.3854389721627414,22,0.8,8,False
log-sigma-2-0-mm-3D_firstorder_Minimum,0.8114956965017919,22,0.5317185697808535,8,True
log-sigma-2-0-mm-3D_firstorder_Range,0.7464919230304407,22,0.2306727956539908,8,False
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.7306313250236376,22,0.7334105289761288,8,False
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.5088118743821266,22,0.796744767643266,8,False
log-sigma-2-0-mm-3D_firstorder_Skewness,0.8001660302178674,22,0.9440609181782278,8,True
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.7245674338297519,22,0.5427708835433986,8,False
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.8567141987804796,22,0.7875996328701167,8,True
log-sigma-2-0-mm-3D_firstorder_Variance,0.6841104506661403,22,0.5072681085726428,8,False
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.7148022910883485,22,0.4592508072062106,8,False
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.46664306695455693,22,0.1504129863506136,8,False
log-sigma-2-0-mm-3D_glcm_ClusterShade,0.7685986498865761,22,0.7736405643054659,8,True
log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.6472312319150783,22,0.46314089867848784,8,False
log-sigma-2-0-mm-3D_glcm_Contrast,0.7147613355901995,22,0.5443097131161226,8,False
log-sigma-2-0-mm-3D_glcm_Correlation,0.6135131177860388,22,0.6254705190025356,8,False
log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.8152304781190216,22,0.6853242343081923,8,True
log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.8280260300219494,22,0.6926372537715274,8,True
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.7019013472526048,22,0.49459879045418886,8,False
log-sigma-2-0-mm-3D_glcm_Id,0.851650087287436,22,0.7862576908176658,8,True
log-sigma-2-0-mm-3D_glcm_Idm,0.852056109567478,22,0.7859041775069379,8,True
log-sigma-2-0-mm-3D_glcm_Idmn,0.9327280386982981,22,-0.3415742582431413,8,True
log-sigma-2-0-mm-3D_glcm_Idn,0.9158852868621105,22,0.11018346028687362,8,True
log-sigma-2-0-mm-3D_glcm_Imc1,0.6413360387426293,22,0.646822965319809,8,False
log-sigma-2-0-mm-3D_glcm_Imc2,0.6590455547223839,22,0.6799216460527371,8,False
log-sigma-2-0-mm-3D_glcm_InverseVariance,0.7976848511260639,22,0.5174647409435804,8,True
log-sigma-2-0-mm-3D_glcm_JointAverage,0.7534417132536642,22,0.6261717461576809,8,True
log-sigma-2-0-mm-3D_glcm_JointEnergy,0.8053440253325836,22,0.8298557051445594,8,True
log-sigma-2-0-mm-3D_glcm_JointEntropy,0.8240900512965481,22,0.6952229041607877,8,True
log-sigma-2-0-mm-3D_glcm_MCC,0.6145562881994093,22,0.5659291523260314,8,False
log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.7419037412918212,22,0.8960124502268724,8,False
log-sigma-2-0-mm-3D_glcm_SumAverage,0.7534417132536638,22,0.6261717461576807,8,True
log-sigma-2-0-mm-3D_glcm_SumEntropy,0.8273670955343891,22,0.6782744262741397,8,True
log-sigma-2-0-mm-3D_glcm_SumSquares,0.6572739174049382,22,0.47013924763212134,8,False
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.8547234253841502,22,0.5399904298467686,8,True
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.8837722835068453,22,0.7424614398723653,8,True
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.6843369724774917,22,0.4776276555818774,8,False
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.7149443492311726,22,0.41431945192012876,8,False
log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.8732320204883491,22,0.8795706392366448,8,True
log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.7683033920007761,22,0.43983209951514385,8,True
