影像号,读者,split,filter,n_roi,n_below,n_above,frac_below,frac_above,roi_min,roi_max
IMG-FE253BFCC1,R1,A,wavelet-LLH,27308,0,0,0.0,0.0,-3.0227537155151367,5.169675827026367
IMG-FE253BFCC1,R1,A,wavelet-LHL,27308,0,0,0.0,0.0,-4.356205463409424,3.9467175006866455
IMG-FE253BFCC1,R1,A,wavelet-LHH,27308,0,0,0.0,0.0,-2.0351622104644775,1.698895812034607
IMG-FE253BFCC1,R1,A,wavelet-HLL,27308,0,0,0.0,0.0,-4.16268253326416,3.1637837886810303
IMG-FE253BFCC1,R1,A,wavelet-HLH,27308,0,0,0.0,0.0,-1.7692549228668213,1.9752774238586426
IMG-FE253BFCC1,R1,A,wavelet-HHL,27308,0,0,0.0,0.0,-2.165027618408203,3.3752896785736084
IMG-FE253BFCC1,R1,A,wavelet-HHH,27308,0,0,0.0,0.0,-1.3015754222869873,1.5002244710922241
IMG-FE253BFCC1,R1,A,wavelet-LLL,27308,0,0,0.0,0.0,2.125380516052246,15.240447044372559
IMG-FE253BFCC1,R1,A,log-sigma-1-0-mm-3D,27308,0,0,0.0,0.0,-1.9026176929473877,1.235926866531372
IMG-FE253BFCC1,R1,A,log-sigma-2-0-mm-3D,27308,0,0,0.0,0.0,-1.7994904518127441,1.10628342628479
IMG-FE253BFCC1,R1,A,log-sigma-3-0-mm-3D,27308,0,0,0.0,0.0,-1.66841721534729,0.8270382285118103
IMG-7F272E52C4,R1,A,wavelet-LLH,9025,0,0,0.0,0.0,-3.806856393814087,1.8091365098953247
IMG-7F272E52C4,R1,A,wavelet-LHL,9025,0,0,0.0,0.0,-3.52166748046875,3.6245903968811035
IMG-7F272E52C4,R1,A,wavelet-LHH,9025,0,0,0.0,0.0,-1.0933340787887573,1.4121577739715576
IMG-7F272E52C4,R1,A,wavelet-HLL,9025,0,0,0.0,0.0,-3.8501858711242676,4.387703895568848
IMG-7F272E52C4,R1,A,wavelet-HLH,9025,0,0,0.0,0.0,-2.2860565185546875,1.4114758968353271
IMG-7F272E52C4,R1,A,wavelet-HHL,9025,0,0,0.0,0.0,-3.2782769203186035,3.8167381286621094
IMG-7F272E52C4,R1,A,wavelet-HHH,9025,0,0,0.0,0.0,-1.1773431301116943,1.3885160684585571
IMG-7F272E52C4,R1,A,wavelet-LLL,9025,0,0,0.0,0.0,2.7954354286193848,15.867953300476074
IMG-7F272E52C4,R1,A,log-sigma-1-0-mm-3D,9025,0,0,0.0,0.0,-1.9770561456680298,1.136199712753296
IMG-7F272E52C4,R1,A,log-sigma-2-0-mm-3D,9025,0,0,0.0,0.0,-1.6105401515960693,1.2177702188491821
IMG-7F272E52C4,R1,A,log-sigma-3-0-mm-3D,9025,0,0,0.0,0.0,-1.4211794137954712,1.1303116083145142
IMG-5B9E750116,R1,A,wavelet-LLH,7901,0,0,0.0,0.0,-4.350635051727295,3.014150857925415
IMG-5B9E750116,R1,A,wavelet-LHL,7901,0,0,0.0,0.0,-4.121620178222656,5.424509048461914
IMG-5B9E750116,R1,A,wavelet-LHH,7901,0,0,0.0,0.0,-1.743773341178894,1.5591551065444946
IMG-5B9E750116,R1,A,wavelet-HLL,7901,0,0,0.0,0.0,-3.2123444080352783,4.751144886016846
IMG-5B9E750116,R1,A,wavelet-HLH,7901,0,0,0.0,0.0,-1.6407153606414795,1.8522273302078247
IMG-5B9E750116,R1,A,wavelet-HHL,7901,0,0,0.0,0.0,-2.7885756492614746,2.7575690746307373
