filter,binWidth,n_bins,grid_min,grid_max
log-sigma-1-0-mm-3D,0.029627,271,-4.898561,3.100621
log-sigma-2-0-mm-3D,0.037745,183,-4.373487,2.496139
log-sigma-3-0-mm-3D,0.041611,155,-3.801674,2.606466
wavelet-HHH,0.017326,295,-2.671357,2.422605
wavelet-HHL,0.039057,293,-5.322931,6.081684
wavelet-HLH,0.021426,341,-3.821215,3.463625
wavelet-HLL,0.051162,405,-11.144877,9.52445
wavelet-LHH,0.021733,399,-3.641505,5.00811
wavelet-LHL,0.051525,388,-11.127853,8.812167
wavelet-LLH,0.057344,328,-8.865443,9.88611
wavelet-LLL,0.267915,123,0.365041,33.050671
