split,n,frac_below_mean,frac_above_mean,n_any_below,n_any_above,roi_min,roi_max
A,530,0.0,2.5472359433315215e-07,0,1,-5.586805820465088,11.800074577331545
B,163,6.222940057606343e-06,0.0,8,0,-7.638198375701904,10.674722671508787
