cv_before,cv_after,grad_before,grad_after,mu_before,mu_after
0.1632401055328706,0.1641783581366904,0.5252814962404451,0.5044441037425256,334.91137591623027,408.57544789813454
0.2534463320532179,0.2534403254367208,1.3307370804151994,1.3306801324094015,203.4978330003096,203.5057628335184
0.2254349691450793,0.2254325370707117,1.8708956162570725,1.8706511992496924,292.9913693901036,293.0166195432556
0.1924488180606474,0.1924565037986076,1.2560395786845455,1.256003334429293,196.722366580052,196.7324010751102
0.2452130069045723,0.2473260552787547,0.9090054391131436,0.9419917158925396,242.25047401429336,302.0816861743321
0.2727319256264425,0.272719760301911,0.481102925931137,0.4810053513692717,195.4074982194356,195.44280231380372
0.2082973705314185,0.2082974409475874,1.1492644418468934,1.1492663334790054,270.7319480234662,270.73072845506937
0.2454543268278354,0.2454507583564676,0.38271485291228,0.3825203116368654,241.9652306967985,241.98642067646853
0.2815716870612287,0.2815639869759724,1.2860263605624156,1.285972817469593,264.15546599496224,264.162766864257
0.233027712389441,0.2330261458748439,1.050097300294503,1.050132202843013,246.90400856751663,246.91966623414055
0.2097349465482701,0.2097254386279922,1.5362493562524937,1.536013650882072,169.3340788601723,169.3488929611081
0.1775351698238013,0.1774719029849181,1.47823173920613,1.47501147787153,164.04189980481456,164.05174237130728
0.2627964694315584,0.2627785125997523,1.4053458713038591,1.4051965865132594,222.09986233929865,222.13202007132875
0.2442873821201264,0.2442836106646522,0.6849471672396298,0.6848245829968658,165.77956874466267,165.77834205858665
0.2298707747056903,0.229853743598743,1.1605738186506058,1.1604323012126965,228.1157782851744,228.16289403002983
0.2407718207739673,0.2406206915296166,0.5683785423907101,0.5649747398770216,104.13074626865672,104.2195420981044
0.223760956364841,0.2237516437931136,1.5930326907877173,1.592854447612998,172.7939456407269,172.84131167688804
0.2568413429090514,0.256810423529703,1.4027698597353315,1.4021900861212633,170.9673533519553,170.99209363215638
0.2311401801842633,0.2311358028153436,1.697427091272949,1.6974999763615304,234.9295604811102,234.94969375723252
0.2599902549111632,0.2599819191643496,1.6358058203812644,1.6356322166668047,212.3194348460416,212.35674467391905
0.2642932799227765,0.2642919511005727,1.769703055732124,1.7695587538327646,214.3056733019092,214.30186629674327
0.1819753707330406,0.1818562112537872,1.0999048024766205,1.096936738239079,153.77980510055983,153.84139397917852
0.1930490353799868,0.1930490776910999,0.6620477728485843,0.6620496395785715,146.2979272042051,146.29745890970676
