变体,尺度mm,K,descriptor,n,ICC_2_1
primary_1x1x2,4.0,3,H_high_fraction,18,0.9295970581168994
primary_1x1x2,4.0,3,H_high_largest_component_fraction,18,0.5124495604476565
primary_1x1x2,4.0,3,H_high_component_density,18,0.17922870828640317
primary_1x1x2,4.0,3,habitat_interface_density,18,0.7139434669830448
primary_1x1x2,4.0,3,H_high_radial_index,9,0.5446407048338752
primary_1x1x2,4.0,3,signal_contrast,2,0.6086305375025381
primary_1x1x2,6.0,2,H_high_fraction,18,0.8809751102392056
primary_1x1x2,6.0,2,H_high_largest_component_fraction,18,0.6582496489700461
primary_1x1x2,6.0,2,H_high_component_density,18,0.7550056704282057
primary_1x1x2,6.0,2,habitat_interface_density,18,0.6551562180119942
primary_1x1x2,6.0,2,H_high_radial_index,14,0.5045926466395135
primary_1x1x2,6.0,2,signal_contrast,14,0.7537521958965947
primary_1x1x2,6.0,3,H_high_fraction,18,0.9384390700352679
primary_1x1x2,6.0,3,H_high_largest_component_fraction,18,0.33399904393587093
primary_1x1x2,6.0,3,H_high_component_density,18,0.29383300972580656
primary_1x1x2,6.0,3,habitat_interface_density,18,0.6969608434857889
primary_1x1x2,6.0,3,H_high_radial_index,9,0.03682106702878377
primary_1x1x2,6.0,3,signal_contrast,4,0.8810349839913897
primary_1x1x2,8.0,2,H_high_fraction,18,0.8854887516889497
primary_1x1x2,8.0,2,H_high_largest_component_fraction,18,0.658082741911049
primary_1x1x2,8.0,2,H_high_component_density,18,0.5280856274913209
primary_1x1x2,8.0,2,habitat_interface_density,18,0.6323942717189838
primary_1x1x2,8.0,2,H_high_radial_index,16,0.4036203025786496
primary_1x1x2,8.0,2,signal_contrast,16,0.8187567292458239
primary_1x1x2,8.0,3,H_high_fraction,18,0.9369278309124403
primary_1x1x2,8.0,3,H_high_largest_component_fraction,18,0.19976418876698201
primary_1x1x2,8.0,3,H_high_component_density,18,0.38003131276619373
primary_1x1x2,8.0,3,habitat_interface_density,18,0.48508507576473375
primary_1x1x2,8.0,3,H_high_radial_index,11,0.64131482259161
primary_1x1x2,8.0,3,signal_contrast,9,0.5297261470838781
roi_dilate1,4.0,2,H_high_fraction,18,0.820829835699864
roi_dilate1,4.0,2,H_high_largest_component_fraction,18,0.5433257877993798
roi_dilate1,4.0,2,H_high_component_density,18,0.14653206699404864
roi_dilate1,4.0,2,habitat_interface_density,18,0.249370716467333
roi_dilate1,4.0,2,H_high_radial_index,14,0.5793743694304363
roi_dilate1,4.0,2,signal_contrast,13,0.7142240121946164
roi_dilate1,4.0,3,H_high_fraction,18,0.8908781599380278
roi_dilate1,4.0,3,H_high_largest_component_fraction,18,0.20130262043177388
roi_dilate1,4.0,3,H_high_component_density,18,-0.27133512523124514
roi_dilate1,4.0,3,habitat_interface_density,18,0.49222247065718494
roi_dilate1,4.0,3,H_high_radial_index,7,0.6445475983017583
roi_dilate1,4.0,3,signal_contrast,0,
roi_dilate1,6.0,2,H_high_fraction,18,0.8111221458780625
roi_dilate1,6.0,2,H_high_largest_component_fraction,18,0.8353612713306519
roi_dilate1,6.0,2,H_high_component_density,18,0.7975860028484263
roi_dilate1,6.0,2,habitat_interface_density,18,0.2838682784199877
roi_dilate1,6.0,2,H_high_radial_index,16,0.24476721075007177
roi_dilate1,6.0,2,signal_contrast,16,0.9160740266122074
roi_dilate1,6.0,3,H_high_fraction,18,0.8467429220935654
roi_dilate1,6.0,3,H_high_largest_component_fraction,18,0.6202356788939238
roi_dilate1,6.0,3,H_high_component_density,18,0.36654407354234086
roi_dilate1,6.0,3,habitat_interface_density,18,0.7131388711814665
roi_dilate1,6.0,3,H_high_radial_index,13,0.6600737451612098
roi_dilate1,6.0,3,signal_contrast,13,0.28482280001125576
roi_dilate1,8.0,2,H_high_fraction,18,0.8114736878822116
roi_dilate1,8.0,2,H_high_largest_component_fraction,18,0.5920411787674902
