影像号,变体,尺度mm,K,聚类中心,聚类中心间距,ROI_Dice,common_voxels,adjusted_rand_index,unassigned_R1,unassigned_R2,H-low_Dice,H-low_fraction_R1,H-low_fraction_R2,R1_H-low_components,R1_H-low_largest_component_ml,R1_H-low_largest_component_fraction,R1_H-low_voxels,R1_H-low_volume_ml,R1_H-low_effective_bins,R1_H-low_texture_eligible,R2_H-low_components,R2_H-low_largest_component_ml,R2_H-low_largest_component_fraction,R2_H-low_voxels,R2_H-low_volume_ml,R2_H-low_effective_bins,R2_H-low_texture_eligible,H-high_Dice,H-high_fraction_R1,H-high_fraction_R2,R1_H-high_components,R1_H-high_largest_component_ml,R1_H-high_largest_component_fraction,R1_H-high_voxels,R1_H-high_volume_ml,R1_H-high_effective_bins,R1_H-high_texture_eligible,R2_H-high_components,R2_H-high_largest_component_ml,R2_H-high_largest_component_fraction,R2_H-high_voxels,R2_H-high_volume_ml,R2_H-high_effective_bins,R2_H-high_texture_eligible,R1_H_high_fraction,R1_H_high_largest_component_fraction,R1_H_high_component_density,R1_habitat_interface_density,R1_H_high_radial_index,R1_signal_contrast,R2_H_high_fraction,R2_H_high_largest_component_fraction,R2_H_high_component_density,R2_habitat_interface_density,R2_H_high_radial_index,R2_signal_contrast,H-mid_Dice,H-mid_fraction_R1,H-mid_fraction_R2,R1_H-mid_components,R1_H-mid_largest_component_ml,R1_H-mid_largest_component_fraction,R1_H-mid_voxels,R1_H-mid_volume_ml,R1_H-mid_effective_bins,R1_H-mid_texture_eligible,R2_H-mid_components,R2_H-mid_largest_component_ml,R2_H-mid_largest_component_fraction,R2_H-mid_voxels,R2_H-mid_volume_ml,R2_H-mid_effective_bins,R2_H-mid_texture_eligible
IMG-16B3264BD9,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.4472295514511873,678,0.102251291419639,0,0,0.3333333333333333,0.05273833671399594,0.001466275659824047,2,0.06399999999999997,0.6153846153846154,52,0.10399999999999997,5,0,2,0.003999999999999998,0.6666666666666666,3,0.005999999999999998,2,0,0.09302325581395349,0.002028397565922921,0.06060606060606061,1,0.003999999999999998,1.0,2,0.003999999999999998,2,0,2,0.22399999999999992,0.9032258064516129,124,0.24799999999999991,12,0,0.002028397565922921,1.0,0.5070993914807304,0.053245436105476676,0.35355339059327373,1.6558279991149902,0.06060606060606061,0.9032258064516129,0.4887585532746825,0.03812316715542522,0.3686784216207401,1.0772043466567993,0.9671002295332823,0.9452332657200812,0.9379276637341154,2.0,1.8619999999999992,0.9989270386266095,932.0,1.8639999999999992,13.0,1.0,2.0,3.8339999999999987,0.9989577905158937,1919.0,3.8379999999999987,19.0,1.0
IMG-34B5A93F0D,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.5397348006494678,11967,-0.07123049183717314,0,0,0.2737137511693171,0.5471852537185965,0.0915527644378771,3,30.745999999999995,0.999739871236262,15377,30.753999999999998,15,1,1,2.9739999999999998,1.0,1487,2.9739999999999998,11,1,0.0,0.0,0.02185691417313139,0,0.0,0.0,0,0.0,0,0,1,0.7099999999999999,1.0,355,0.7099999999999999,17,1,0.0,0.0,0.0,0.03537114796099922,,,0.02185691417313139,1.0,0.03078438615933999,0.030753601773180643,0.3294791376859541,1.3935831785202026,0.4035261038072802,0.45281474628140345,0.8865903213889915,2.0,25.433999999999997,0.9993713163064833,12725.0,25.449999999999996,19.0,1.0,1.0,28.799999999999997,1.0,14400.0,28.799999999999997,20.0,1.0
IMG-893073F906,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.5763648116589293,4904,-0.0011377927589432632,0,0,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.9700724561587735,0.9124222558413179,0.9922298518250813,1,10.856,1.0,5428,10.856,16,1,3,21.952,0.9994536514296121,10982,21.964,35,1,0.9124222558413179,1.0,0.08404773911581778,0.030761472516389308,0.3270845425627833,,0.9922298518250813,0.9994536514296121,0.1355258402602096,0.0042464763281532345,0.3489677576372277,,0.0,0.08757774415868214,0.007770148174918685,5.0,0.568,0.54510556621881,521.0,1.042,16.0,1.0,1.0,0.172,1.0,86.0,0.172,16.0,0.0
IMG-EE9195B25E,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.6987073532528078,8243,0.9440930862726115,0,0,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.9444444444444444,0.0019997647335607575,0.012985292169073804,1,0.033999999999999996,1.0,17,0.033999999999999996,7,0,1,0.3919999999999999,1.0,196,0.3919999999999999,19,0,0.0019997647335607575,1.0,0.058816609810610536,0.0018821315139395365,0.2719117418327272,,0.012985292169073804,1.0,0.033125745329269915,0.006625149065853982,0.22570180377009388,,0.9998784194528876,0.9980002352664392,0.9870147078309262,6.0,16.941999999999997,0.9984677039132485,8484.0,16.967999999999996,12.0,1.0,2.0,29.789999999999992,0.999798630688683,14898.0,29.795999999999992,20.0,1.0
IMG-8F0C09D99C,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.7574915947960824,2591,0.5322561112697879,0,0,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.9321074964639321,0.8827338129496403,0.6990888943609949,1,4.9079999999999995,1.0,2454,4.9079999999999995,18,1,3,5.667999999999999,0.9982388164846777,2839,5.677999999999999,20,1,0.8827338129496403,1.0,0.17985611510791372,0.06294964028776978,0.42837054721398693,,0.6990888943609949,0.9982388164846777,0.36936715094804246,0.10994828859886727,0.3968408857639777,,0.6936170212765957,0.11726618705035971,0.3009111056390052,3.0,0.37599999999999995,0.5766871165644172,326.0,0.6519999999999999,11.0,1.0,2.0,1.6419999999999995,0.6718494271685761,1222.0,2.4439999999999995,14.0,1.0
IMG-EDA063D47C,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.6069277940445279,5493,-0.06179612364593063,0,0,0.0,0.09152301403945264,0.0,1,1.03,1.0,515,1.03,6,1,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.2328042328042328,0,0.0,0.0,0,0.0,0,0,8,5.202,0.8956611570247934,2904,5.808,18,1,0.0,0.0,0.0,0.035276346188022036,,,0.2328042328042328,0.8956611570247934,0.320666987333654,0.04846079846079846,0.4012786028471026,,0.9174963035978314,0.9084769859605474,0.7671957671957672,1.0,10.224,1.0,5112.0,10.224,20.0,1.0,3.0,17.924,0.9364681295715779,9570.0,19.14,23.0,1.0
IMG-7350051976,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.725830361793341,9058,0.9725801986126094,0,0,0.9242424242424242,0.0067597034452682074,0.014885665420915944,2,0.08999999999999998,0.7258064516129032,62,0.12399999999999999,9,0,5,0.32399999999999995,0.6893617021276596,235,0.4699999999999999,12,0,0.9939393939393939,0.018098560837331006,0.020966618103502883,2,0.32999999999999996,0.9939759036144579,166,0.33199999999999996,11,0,1,0.6619999999999999,1.0,331,0.6619999999999999,15,1,0.018098560837331006,0.9939759036144579,0.10902747492368078,0.012647187091146971,0.36634328878064365,1.602226734161377,0.020966618103502883,1.0,0.03167162855514031,0.016184202191676697,0.2845488958026005,1.7943000793457031,0.9993202673615045,0.9751417357174008,0.9641477164755812,1.0,17.887999999999998,1.0,8944.0,17.887999999999998,14.0,1.0,2.0,30.439999999999998,0.9999343012942645,15221.0,30.441999999999997,21.0,1.0
IMG-4950E13031,roi_erode1,4.0,3,1.4351036;2.2143322;3.4260761,0.7792285803184724,0.6984738955823293,6522,-0.09588947192349344,0,0,0.363787099983419,0.1759679572763685,0.6783191774698256,2,2.6239999999999997,0.9954476479514416,1318,2.6359999999999997,10,1,3,15.167999999999997,0.9996045867931989,7587,15.173999999999998,13,1,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.04025367156208278,,,0.0,0.0,0.0,0.04215467143495753,,,0.4528732354199344,0.8240320427236315,0.3216808225301743,2.0,12.341999999999999,0.9998379779650033,6172.0,12.343999999999998,14.0,1.0,3.0,7.179999999999999,0.9977765425236242,3598.0,7.195999999999999,15.0,1.0
IMG-9E2C4ABE0B,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.6286744002703007,13955,0.0,0,0,0.8192240978127512,1.0,0.7812119015453557,1,28.09199999999999,1.0,14046,28.09199999999999,23,1,1,47.41799999999999,1.0,23709,47.41799999999999,26,1,0.0,0.0,0.2187880984546443,0,0.0,0.0,0,0.0,0,0,14,12.005999999999998,0.904066265060241,6640,13.279999999999996,26,1,0.0,0.0,0.0,0.0,,,0.2187880984546443,0.904066265060241,0.23065010379254675,0.03673926653266994,0.3717894075324831,0.4745650291442871,,,,,,,,,,,,,,,,,
IMG-D0FB6C7AE7,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7024733619401186,7285,0.09063785326015278,0,0,0.9473607677766468,0.9918886034879005,0.8999550359712231,1,14.674,1.0,7337,14.674,17,1,1,24.018,1.0,12009,24.018,21,1,0.11274509803921569,0.0081113965120995,0.10004496402877698,1,0.12,1.0,60,0.12,8,0,4,1.85,0.6928838951310862,1335,2.67,19,1,0.0081113965120995,1.0,0.0675949709341625,0.0063539272678112746,0.21884420610772973,1.1354643106460571,0.10004496402877698,0.6928838951310862,0.1498800959232614,0.03799460431654676,0.23109997601692067,1.409402847290039,,,,,,,,,,,,,,,,,
IMG-1815129EC4,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.891061238068429,52230,0.838591708343154,0,0,0.9916884013111826,0.9524897291215629,0.9074440840020488,1,111.748,1.0,55874,111.748,25,1,1,106.298,1.0,53149,106.298,29,1,0.8617254769542462,0.04751027087843712,0.09255591599795117,1,5.574,1.0,2787,5.574,22,1,3,9.802,0.9040767386091128,5421,10.842,28,1,0.04751027087843712,1.0,0.008523550570225533,0.009009392952728389,0.14694067066605634,0.36519312858581543,0.09255591599795117,0.9040767386091128,0.02561038074099368,0.014307666040635138,0.2252844817049088,0.15921688079833984,,,,,,,,,,,,,,,,,
IMG-AD73EFA971,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7509924038225925,15324,0.0,0,0,0.9372724435660044,0.9079857578840285,0.999338061465721,1,35.70199999999999,1.0,17851,35.70199999999999,30,1,1,42.27199999999999,1.0,21136,42.27199999999999,29,1,0.0,0.09201424211597152,0.0006619385342789598,1,3.617999999999999,1.0,1809,3.617999999999999,29,1,1,0.027999999999999994,1.0,14,0.027999999999999994,7,0,0.09201424211597152,1.0,0.025432349949135305,0.01660732451678535,0.29782801977550827,0.3543205261230469,0.0006619385342789598,1.0,0.023640661938534285,0.0008274231678486998,0.09950371902099892,1.3855376243591309,,,,,,,,,,,,,,,,,
IMG-D31CF4ABF7,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7626734914853824,7748,0.8069903399907452,0,0,0.8085106382978723,0.04136523836023001,0.006606543624161074,3,0.8679999999999999,0.9730941704035875,446,0.8919999999999999,16,1,3,0.08399999999999999,0.6666666666666666,63,0.12599999999999997,8,0,0.9994174380218784,0.95863476163977,0.993393456375839,1,20.671999999999997,1.0,10336,20.671999999999997,28,1,1,18.945999999999998,1.0,9473,18.945999999999998,27,1,0.95863476163977,1.0,0.046373585605639034,0.017761083286959748,0.3475305550190698,1.034836769104004,0.993393456375839,1.0,0.05243288590604028,0.005295721476510067,0.3369956830949166,1.4016633033752441,,,,,,,,,,,,,,,,,
IMG-182FA24923,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.7787579853113729,8960,1.0,0,0,1.0,1.0,1.0,1,18.009999999999998,1.0,9005,18.009999999999998,9,1,1,28.011999999999997,1.0,14006,28.011999999999997,10,1,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IMG-B1DBEB52F4,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.6903366412052221,32626,0.9993688852294811,0,0,0.9994169096209913,0.02638587039701246,0.030637155837226974,1,1.7239999999999995,1.0,862,1.7239999999999995,19,1,2,3.783999999999999,0.9984168865435357,1895,3.789999999999999,22,1,0.9999842611391787,0.9736141296029875,0.9693628441627731,1,63.61399999999998,1.0,31807,63.61399999999998,35,1,1,119.91599999999997,1.0,59958,119.91599999999997,43,1,0.9736141296029875,1.0,0.015305029232605839,0.008019835317885457,0.3314776366505317,1.7213678359985352,0.9693628441627731,1.0,0.008083682278951709,0.006766042067482579,0.29348962628444936,1.9594378471374512,,,,,,,,,,,,,,,,,
IMG-825C59B3C8,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.9006162421007183,22945,0.43342650983080916,0,0,0.8007929649773802,0.3430480944122499,0.5314685314685315,5,15.673999999999996,0.9663378545006165,8110,16.219999999999995,21,1,4,28.891999999999992,0.9951777349131993,14516,29.031999999999993,23,1,0.8505168402181791,0.6569519055877501,0.46853146853146854,4,30.825999999999993,0.9924022921898139,15531,31.061999999999994,27,1,3,25.237999999999992,0.9860904899585841,12797,25.593999999999994,27,1,0.6569519055877501,0.9924022921898139,0.08459879023729963,0.054968063956685416,0.3480342108920947,0.6813514232635498,0.46853146853146854,0.9860904899585841,0.05491890308644237,0.049115805660308286,0.33192379591159216,0.7019352912902832,,,,,,,,,,,,,,,,,
IMG-DA4569F340,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.6899761264392131,11416,1.0,0,0,1.0,1.0,1.0,1,23.009999999999998,1.0,11505,23.009999999999998,16,1,1,43.17199999999999,1.0,21586,43.17199999999999,16,1,,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
IMG-8BF8DD5DE4,roi_dilate1,4.0,2,1.8727847;3.2299623,1.3571776248375897,0.770711736881414,13931,0.3726757379583957,0,0,0.9168317666399697,0.9230769230769231,0.6844232515894642,1,26.088,1.0,13044,26.088,22,1,1,30.142,1.0,15071,30.142,21,1,0.523314810340662,0.07692307692307693,0.3155767484105359,2,2.172,0.9990800367985281,1087,2.174,16,1,2,13.804,0.9932364368973953,6949,13.898,24,1,0.07692307692307693,0.9990800367985281,0.07076640011322624,0.016700870426721394,0.24208698883397786,0.6997692584991455,0.3155767484105359,0.9932364368973953,0.045413260672116255,0.06008174386920981,0.2682650459411237,0.44531893730163574,,,,,,,,,,,,,,,,,
