dataset,model,horizon_months,repeats,median_auc,q1_auc,q3_auc,min_auc,max_auc
A_OOF,model1,36,1,0.66929039624773,0.66929039624773,0.66929039624773,0.66929039624773,0.66929039624773
A_OOF,model2,36,1,0.517144199899508,0.517144199899508,0.517144199899508,0.517144199899508,0.517144199899508
A_OOF,model3,36,1,0.678691556728426,0.678691556728426,0.678691556728426,0.678691556728426,0.678691556728426
A_OOF,model1,60,1,0.674456921150268,0.674456921150268,0.674456921150268,0.674456921150268,0.674456921150268
A_OOF,model2,60,1,0.501673375254364,0.501673375254364,0.501673375254364,0.501673375254364,0.501673375254364
A_OOF,model3,60,1,0.680869354381802,0.680869354381802,0.680869354381802,0.680869354381802,0.680869354381802
