变体,尺度mm,K,descriptor,n,ICC_2_1,方法
patient_k2_roi_dilate1,4.0,2,signal_contrast,18,0.14700499959493948,patient_k2
patient_k2_roi_dilate1,6.0,2,H_high_fraction,18,0.4599542716721832,patient_k2
patient_k2_roi_dilate1,6.0,2,H_high_largest_component_fraction,18,0.1325983048328223,patient_k2
patient_k2_roi_dilate1,6.0,2,H_high_component_density,18,0.5448772111911515,patient_k2
patient_k2_roi_dilate1,6.0,2,habitat_interface_density,18,0.6702549392687647,patient_k2
patient_k2_roi_dilate1,6.0,2,H_high_radial_index,18,0.5821289843285681,patient_k2
patient_k2_roi_dilate1,6.0,2,signal_contrast,18,0.2075738738319378,patient_k2
patient_k2_roi_dilate1,8.0,2,H_high_fraction,18,0.33700549320412504,patient_k2
patient_k2_roi_dilate1,8.0,2,H_high_largest_component_fraction,18,0.21207793972564554,patient_k2
patient_k2_roi_dilate1,8.0,2,H_high_component_density,18,0.5914520349279764,patient_k2
patient_k2_roi_dilate1,8.0,2,habitat_interface_density,18,0.19069397831220486,patient_k2
patient_k2_roi_dilate1,8.0,2,H_high_radial_index,18,0.23814084253058737,patient_k2
patient_k2_roi_dilate1,8.0,2,signal_contrast,18,0.6332005364974861,patient_k2
patient_k2_roi_erode1,4.0,2,H_high_fraction,18,0.20786203778128065,patient_k2
patient_k2_roi_erode1,4.0,2,H_high_largest_component_fraction,18,0.2573345086780542,patient_k2
patient_k2_roi_erode1,4.0,2,H_high_component_density,18,0.5620055572848257,patient_k2
patient_k2_roi_erode1,4.0,2,habitat_interface_density,18,0.39733829820620725,patient_k2
patient_k2_roi_erode1,4.0,2,H_high_radial_index,18,0.23842421999053204,patient_k2
patient_k2_roi_erode1,4.0,2,signal_contrast,18,0.43862203880164324,patient_k2
patient_k2_roi_erode1,6.0,2,H_high_fraction,18,0.8580152291037857,patient_k2
patient_k2_roi_erode1,6.0,2,H_high_largest_component_fraction,18,0.1644207772755524,patient_k2
patient_k2_roi_erode1,6.0,2,H_high_component_density,18,0.6139058471966778,patient_k2
patient_k2_roi_erode1,6.0,2,habitat_interface_density,18,0.5303860455394003,patient_k2
patient_k2_roi_erode1,6.0,2,H_high_radial_index,18,0.7541421211394757,patient_k2
patient_k2_roi_erode1,6.0,2,signal_contrast,18,0.6827021181957905,patient_k2
patient_k2_roi_erode1,8.0,2,H_high_fraction,18,0.5453684699224042,patient_k2
