feature,stage,reason
wavelet-LHH_glszm_SmallAreaEmphasis,icc,ICC_A=0.290 ≤ 0.75
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,icc,ICC_A=0.382 ≤ 0.75
wavelet-LHH_glszm_ZoneVariance,icc,ICC_A=0.038 ≤ 0.75
wavelet-LHH_gldm_DependenceVariance,icc,ICC_A=0.154 ≤ 0.75
wavelet-LHH_gldm_GrayLevelNonUniformity,icc,ICC_A=0.497 ≤ 0.75
wavelet-LHH_gldm_LargeDependenceEmphasis,icc,ICC_A=0.167 ≤ 0.75
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.730 ≤ 0.75
wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.031 ≤ 0.75
wavelet-LHH_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.241 ≤ 0.75
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.727 ≤ 0.75
wavelet-LHH_ngtdm_Busyness,icc,ICC_A=0.205 ≤ 0.75
wavelet-LHH_ngtdm_Coarseness,icc,ICC_A=0.683 ≤ 0.75
wavelet-LHH_ngtdm_Contrast,icc,ICC_A=0.683 ≤ 0.75
wavelet-HLL_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
wavelet-HLL_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
wavelet-HLL_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
wavelet-HLL_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
wavelet-HLL_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
wavelet-HLL_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
wavelet-HLL_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
wavelet-HLL_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
wavelet-HLL_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
wavelet-HLL_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
wavelet-HLL_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
wavelet-HLL_firstorder_10Percentile,icc,ICC_A=0.571 ≤ 0.75
wavelet-HLL_firstorder_Energy,icc,ICC_A=0.729 ≤ 0.75
wavelet-HLL_firstorder_InterquartileRange,icc,ICC_A=0.742 ≤ 0.75
wavelet-HLL_firstorder_Kurtosis,icc,ICC_A=0.554 ≤ 0.75
wavelet-HLL_firstorder_Maximum,icc,ICC_A=0.706 ≤ 0.75
wavelet-HLL_firstorder_Mean,icc,ICC_A=0.453 ≤ 0.75
wavelet-HLL_firstorder_Median,icc,ICC_A=0.000 ≤ 0.75
wavelet-HLL_firstorder_Minimum,icc,ICC_A=0.743 ≤ 0.75
wavelet-HLL_firstorder_RootMeanSquared,icc,ICC_A=0.519 ≤ 0.75
wavelet-HLL_firstorder_Skewness,icc,ICC_A=0.496 ≤ 0.75
wavelet-HLL_firstorder_TotalEnergy,icc,ICC_A=0.729 ≤ 0.75
wavelet-HLL_glcm_Autocorrelation,icc,ICC_A=0.635 ≤ 0.75
wavelet-HLL_glcm_ClusterProminence,icc,ICC_A=0.393 ≤ 0.75
wavelet-HLL_glcm_ClusterShade,icc,ICC_A=0.103 ≤ 0.75
wavelet-HLL_glcm_Correlation,icc,ICC_A=0.599 ≤ 0.75
wavelet-HLL_glcm_Idmn,icc,ICC_A=0.622 ≤ 0.75
wavelet-HLL_glcm_Idn,icc,ICC_A=0.581 ≤ 0.75
wavelet-HLL_glcm_JointAverage,icc,ICC_A=0.745 ≤ 0.75
wavelet-HLL_glcm_MCC,icc,ICC_A=0.407 ≤ 0.75
wavelet-HLL_glcm_SumAverage,icc,ICC_A=0.745 ≤ 0.75
