feature,icc_A,n_A,icc_B,n_B,pass
original_shape_Elongation,0.4697598842624501,22,0.5738864996852152,8,False
original_shape_Flatness,0.616507232972749,22,0.6148435803984232,8,False
original_shape_LeastAxisLength,0.7669594053436322,22,0.8118146024205378,8,True
original_shape_MajorAxisLength,0.7644796519635452,22,0.5697862559124197,8,True
original_shape_Maximum2DDiameterColumn,0.8211426819564499,22,0.4773879265459173,8,True
original_shape_Maximum2DDiameterRow,0.7385779235397708,22,0.3607357215725509,8,False
original_shape_Maximum2DDiameterSlice,0.6496447982144226,22,0.5852050439216012,8,False
original_shape_Maximum3DDiameter,0.739142709602197,22,0.41764856156734387,8,False
original_shape_MeshVolume,0.7283102577095294,22,0.5641616353792328,8,False
original_shape_MinorAxisLength,0.6657388317444173,22,0.6521972274917414,8,False
original_shape_Sphericity,0.5113266810893029,22,0.764270329765584,8,False
original_shape_SurfaceArea,0.7442170545138365,22,0.7226857197978283,8,False
original_shape_SurfaceVolumeRatio,0.5015427142356769,22,0.11105134467485078,8,False
original_shape_VoxelVolume,0.7286509529434513,22,0.5653591439073548,8,False
original_firstorder_10Percentile,0.29530201342281903,22,0.0,8,False
original_firstorder_90Percentile,-4.579669976578774e-16,22,0.631578947368421,8,False
original_firstorder_Energy,0.7286314992625098,22,0.5653208464358525,8,False
original_firstorder_Entropy,0.5489412516263128,22,0.10633074709794853,8,False
original_firstorder_InterquartileRange,0.44736842105263136,22,0.631578947368421,8,False
original_firstorder_Kurtosis,0.28935754521931206,22,0.3297045136776599,8,False
original_firstorder_Maximum,0.5168840668048277,22,0.17647058823529413,8,False
original_firstorder_MeanAbsoluteDeviation,0.6617187979698943,22,0.5660237386685878,8,False
original_firstorder_Mean,0.18679530473385153,22,-0.6319719263722573,8,False
original_firstorder_Median,0.6074766355140194,22,0.2758620689655173,8,False
original_firstorder_Minimum,0.5733997700268306,22,0.8815232722143863,8,False
original_firstorder_Range,0.5878168462007495,22,0.6256339326878746,8,False
original_firstorder_RobustMeanAbsoluteDeviation,0.6649537436341577,22,0.520355312666148,8,False
original_firstorder_RootMeanSquared,0.16462427710748137,22,-0.8032739788482279,8,False
original_firstorder_Skewness,0.5229544872914149,22,0.08972383706405718,8,False
original_firstorder_TotalEnergy,0.7286314992625103,22,0.5653208464358526,8,False
original_firstorder_Uniformity,0.6272680879153463,22,0.40365206830522893,8,False
original_firstorder_Variance,0.06124123583902339,22,0.1962297165071576,8,False
original_glcm_Autocorrelation,0.5623096336507575,22,0.8829698849355487,8,False
original_glcm_ClusterProminence,0.2911931997092899,22,-0.05499862251680866,8,False
original_glcm_ClusterShade,0.5581798086324463,22,-0.0006968788073300555,8,False
original_glcm_ClusterTendency,0.6782357890987106,22,0.5365792702115021,8,False
original_glcm_Contrast,0.8848290079155682,22,-0.3312933169090838,8,True
original_glcm_Correlation,0.8792974450398686,22,0.06159769959913999,8,True
original_glcm_DifferenceAverage,0.8343332530798137,22,-0.5873490806371963,8,True
original_glcm_DifferenceEntropy,0.8577651624604475,22,-0.5751756095333446,8,True
original_glcm_DifferenceVariance,0.8581500662773324,22,0.33738306385993305,8,True
original_glcm_Id,0.7707580536950412,22,-0.4597718216523406,8,True
original_glcm_Idm,0.7613062453571589,22,-0.4266453171767536,8,True
original_glcm_Idmn,0.642754893966144,22,0.11363432996080146,8,False
original_glcm_Idn,0.609389706705317,22,0.14604141276568658,8,False
original_glcm_Imc1,0.8003240042678823,22,-0.05134321771634682,8,True
original_glcm_Imc2,0.8589305864793705,22,0.058423286415191546,8,True
original_glcm_InverseVariance,0.7679939521227708,22,-0.41946552213533245,8,True
original_glcm_JointAverage,0.5553709224679926,22,0.8748041727243728,8,False
original_glcm_JointEnergy,0.64302076433501,22,-0.016281885900673698,8,False
original_glcm_JointEntropy,0.6550314064092598,22,-0.4687082864902016,8,False
original_glcm_MCC,0.8127534064977772,22,-0.3322692512431871,8,True
original_glcm_MaximumProbability,0.6877456281811825,22,0.15358923215564968,8,False
original_glcm_SumAverage,0.5553709224679925,22,0.8748041727243732,8,False
original_glcm_SumEntropy,0.6569813863699796,22,0.4784210948777147,8,False
original_glcm_SumSquares,0.2975908557320915,22,0.32388362017874567,8,False
original_glrlm_GrayLevelNonUniformity,0.739008347632435,22,0.5696382184058775,8,False
original_glrlm_GrayLevelNonUniformityNormalized,0.6055793010000774,22,0.42701097434377583,8,False
original_glrlm_GrayLevelVariance,0.5766830379607707,22,0.18074965514383426,8,False
original_glrlm_HighGrayLevelRunEmphasis,0.5750239686022891,22,0.8844516856106437,8,False
original_glrlm_LongRunEmphasis,0.6318327545772766,22,-0.35452831994423684,8,False
original_glrlm_LongRunHighGrayLevelEmphasis,0.620321204265734,22,0.8444279225043216,8,False
original_glrlm_LongRunLowGrayLevelEmphasis,0.5538375204653506,22,0.9101838784596575,8,False
original_glrlm_LowGrayLevelRunEmphasis,0.5817451439681031,22,0.8141713087387311,8,False
original_glrlm_RunEntropy,0.6731761346935087,22,-0.14788719837632927,8,False
original_glrlm_RunLengthNonUniformity,0.7537364888010898,22,0.6037702645935643,8,True
original_glrlm_RunLengthNonUniformityNormalized,0.6880741976427412,22,-0.3231156202708355,8,False
original_glrlm_RunPercentage,0.6752672407299481,22,-0.32267277878905143,8,False
original_glrlm_RunVariance,0.5834985645438294,22,-0.3438742320684917,8,False
original_glrlm_ShortRunEmphasis,0.6865029227776515,22,-0.33488333252441455,8,False
original_glrlm_ShortRunHighGrayLevelEmphasis,0.5664423672316956,22,0.8916821793980113,8,False
original_glrlm_ShortRunLowGrayLevelEmphasis,0.5873515146079333,22,0.7873280502450575,8,False
original_glszm_GrayLevelNonUniformity,0.795021498807144,22,0.693222336839915,8,True
original_glszm_GrayLevelNonUniformityNormalized,0.7481248504196869,22,0.2793232937334178,8,False
original_glszm_GrayLevelVariance,0.606560462650078,22,0.29228731581858125,8,False
original_glszm_HighGrayLevelZoneEmphasis,0.6179705107170576,22,0.8338837955172185,8,False
original_glszm_LargeAreaEmphasis,0.6717544595136744,22,0.24828657165751017,8,False
original_glszm_LargeAreaHighGrayLevelEmphasis,0.8674704466472576,22,0.5521464670924091,8,True
original_glszm_LargeAreaLowGrayLevelEmphasis,0.3912424843572748,22,-0.19075597012480197,8,False
original_glszm_LowGrayLevelZoneEmphasis,0.5840302427969191,22,0.7534474568363108,8,False
