feature,stage,reason
log-sigma-1-0-mm-3D_gldm_DependenceVariance,icc,ICC_A=0.750 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,icc,ICC_A=0.407 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,icc,ICC_A=0.486 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,icc,ICC_A=0.620 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,icc,ICC_A=0.506 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,icc,ICC_A=0.413 ≤ 0.75
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,icc,ICC_A=0.366 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Busyness,icc,ICC_A=0.653 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Coarseness,icc,ICC_A=0.694 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Complexity,icc,ICC_A=0.526 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Contrast,icc,ICC_A=0.699 ≤ 0.75
log-sigma-1-0-mm-3D_ngtdm_Strength,icc,ICC_A=0.573 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Elongation,icc,ICC_A=0.470 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Flatness,icc,ICC_A=0.617 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterRow,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum2DDiameterSlice,icc,ICC_A=0.650 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Maximum3DDiameter,icc,ICC_A=0.739 ≤ 0.75
log-sigma-2-0-mm-3D_shape_MeshVolume,icc,ICC_A=0.728 ≤ 0.75
log-sigma-2-0-mm-3D_shape_MinorAxisLength,icc,ICC_A=0.666 ≤ 0.75
log-sigma-2-0-mm-3D_shape_Sphericity,icc,ICC_A=0.511 ≤ 0.75
log-sigma-2-0-mm-3D_shape_SurfaceArea,icc,ICC_A=0.744 ≤ 0.75
log-sigma-2-0-mm-3D_shape_SurfaceVolumeRatio,icc,ICC_A=0.502 ≤ 0.75
log-sigma-2-0-mm-3D_shape_VoxelVolume,icc,ICC_A=0.729 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Energy,icc,ICC_A=0.719 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,icc,ICC_A=0.729 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Maximum,icc,ICC_A=0.636 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Median,icc,ICC_A=0.727 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_Range,icc,ICC_A=0.693 ≤ 0.75
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,icc,ICC_A=0.719 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_ClusterProminence,icc,ICC_A=0.607 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_ClusterShade,icc,ICC_A=0.609 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Contrast,icc,ICC_A=0.720 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Correlation,icc,ICC_A=0.592 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_DifferenceVariance,icc,ICC_A=0.711 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Imc1,icc,ICC_A=0.465 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_Imc2,icc,ICC_A=0.637 ≤ 0.75
log-sigma-2-0-mm-3D_glcm_MCC,icc,ICC_A=0.583 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,icc,ICC_A=0.735 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,icc,ICC_A=0.724 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,icc,ICC_A=0.743 ≤ 0.75
log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,icc,ICC_A=0.705 ≤ 0.75
